Date,Reserve Bank credit,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Term Facility,Term Asset-Backed Securities Loan Facility,Term Asset-Backed Securities Loan Facility,Other federal reserve assets,Central bank liquidity swaps,U.S. Treasury securities
2009-06-04,2066244000000,0,41930000000,1000000,12000000,0,427612000000,372540000000,0,25093000000,43578000000,145139000000,25772000000,16260000000,20395000000,80704000000,27350000000,15440000000,15440000000,70634000000,176833000000,606158000000
2009-05-28,2074457000000,0,38153000000,29000000,15000000,0,430902000000,372541000000,0,26423000000,44157000000,154694000000,25688000000,16175000000,20367000000,79753000000,28093000000,15454000000,15454000000,69568000000,184932000000,597579000000
2009-05-21,2165129000000,0,38155000000,20000000,11000000,0,430485000000,428835000000,0,28121000000,45708000000,160781000000,25692000000,16152000000,20313000000,74549000000,32550000000,15915000000,15915000000,65360000000,236459000000,580566000000
2009-05-14,2116487000000,0,39872000000,0,9000000,0,384115000000,428835000000,482000000,28781000000,45702000000,166926000000,25675000000,16144000000,20231000000,72109000000,32550000000,9110000000,9110000000,64689000000,246500000000,569426000000
2009-05-07,2041376000000,0,40941000000,6000000,4000000,0,365835000000,403573000000,643000000,10670000000,45496000000,164740000000,26384000000,18016000000,26416000000,69579000000,32550000000,6379000000,6379000000,61556000000,249302000000,554088000000
2009-04-30,2087578000000,0,44788000000,40000000,1000000,0,367728000000,403573000000,5479000000,3362000000,44489000000,222920000000,26484000000,18264000000,27432000000,66074000000,32550000000,6379000000,6379000000,59582000000,250215000000,543009000000
2009-04-23,2169120000000,0,43112000000,61000000,1000000,0,362599000000,455799000000,9214000000,950000000,44983000000,240897000000,26445000000,18237000000,27414000000,62757000000,43979000000,6379000000,6379000000,57658000000,286274000000,528690000000
2009-04-16,2098773000000,0,48490000000,67000000,2000000,0,287215000000,455800000000,12886000000,2695000000,45106000000,250248000000,26404000000,18228000000,27359000000,57760000000,54250000000,5174000000,5174000000,55372000000,293533000000,514565000000
2009-04-09,2069605000000,0,49159000000,64000000,3000000,0,236638000000,467277000000,17600000000,4938000000,45571000000,250597000000,26344000000,18391000000,27476000000,54761000000,60436000000,4692000000,4692000000,50018000000,312839000000,505518000000
2009-04-02,2048651000000,0,59735000000,0,3000000,0,236424000000,467278000000,19488000000,6650000000,44712000000,244297000000,26295000000,18458000000,27647000000,50853000000,85650000000,4703000000,4703000000,48346000000,309828000000,486219000000
2009-03-26,2050972000000,0,62782000000,0,3000000,0,236964000000,468589000000,20089000000,7179000000,43614000000,240802000000,26223000000,18440000000,27631000000,48796000000,90264000000,673000000,673000000,48914000000,327692000000,474731000000
2009-02-26,1900189000000,0,64408000000,7000000,2000000,0,68529000000,447563000000,25618000000,11382000000,38046000000,246233000000,25924000000,18641000000,27677000000,35869000000,111556000000,,,43395000000,374590000000,474684000000
2009-02-19,1907301000000,0,65992000000,4000000,3000000,0,63071000000,447563000000,26001000000,13875000000,37355000000,250358000000,25883000000,18631000000,27639000000,32558000000,115280000000,,,45793000000,379687000000,474790000000
2009-02-12,1830406000000,0,64574000000,35000000,4000000,0,7377000000,412883000000,25805000000,15111000000,37677000000,256153000000,25863000000,18674000000,27528000000,31831000000,116773000000,,,44617000000,389671000000,474910000000
2009-02-05,1840746000000,0,67426000000,5000000,2000000,0,7377000000,412883000000,30264000000,16981000000,39013000000,259315000000,25785000000,18965000000,27464000000,29029000000,120630000000,,,44209000000,388791000000,475034000000
2009-01-29,1989877000000,17143000000,64990000000,34000000,1000000,0,6824000000,415859000000,32054000000,14593000000,38336000000,316201000000,26980000000,19692000000,27037000000,26668000000,125094000000,,,44428000000,465853000000,475200000000
2009-01-22,2049246000000,37143000000,61618000000,74000000,1000000,0,5784000000,416031000000,32679000000,15482000000,38445000000,349940000000,27131000000,19802000000,26946000000,24158000000,133100000000,,,520184000000,,475381000000
2009-01-15,2069182000000,57143000000,69101000000,41000000,0,0,1542000000,371387000000,33690000000,18767000000,39124000000,334582000000,27070000000,19795000000,26889000000,20358000000,132879000000,,,575496000000,,475589000000
2009-01-08,2177564000000,77143000000,87935000000,16000000,2000000,0,,406805000000,35977000000,22868000000,39003000000,334272000000,27028000000,20071000000,26798000000,,161100000000,,,605725000000,,475797000000
