Date,Name,Price Paid,Pricing Mechanism,Description,Transaction Type,FDIC Number,OTS Number,Type of Institution,Total Assets (Q4 2008),Regulator,City,State,Stock Symbol,Program,Warrant Strike Price,Warrant Received,Stock Price (as of close 2009-04-08),In/Out of Money (as of close 2009-04-08),Subsidy Rate Estimate (percentage),Subsidy Rate Estimate Date,Subsidy Rate Estimate Source
2009-03-31,Bank of Marin Bancorp,-28000000.00,Par,Preferred Stock W/ Warrants,Repayment,3590388,,holding company,1049536000.00,Federal Reserve,Novato,CA,BMRC,CPP,,,23.25,,,,
2009-03-31,"Centra Financial Holdings, Inc./Centra Bank, Inc.",-15000000.00,Par,Preferred Stock w/ Exercised Warrants,Repayment,2856498,,holding company,1212748000.00,Federal Reserve,Morgantown,WV,,CPP,,,,,,,
2009-03-31,Iberiabank,-90000000.00,Par,Preferred Stock W/ Warrants,Repayment,28100,,bank,3864600000.00,Federal Reserve,Lafayette,LA,,CPP,,,,,,,
2009-03-31,Old National Bancorp,-100000000.00,Par,Preferred Stock W/ Warrants,Repayment,1098303,,holding company,7712867000.00,Federal Reserve,Evansville,IN,ONB,CPP,,,12.96,,,,
2009-03-31,Signature Bank,-120000000.00,Par,Preferred Stock W/ Warrants,Repayment,57053,,bank,6699455000.00,FDIC,New York,NY,SBNY,CPP,,,25.30,,,,
2009-03-27,ALPINE BANKS OF COLORADO,70000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1061679,,holding company,2682098000.00,,Glenwood Springs,CO,,CPP,,,,,,,
2009-03-27,CBS BANC-CORP.,24300000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1493654,,holding company,1340219000.00,,Russellville,AL,,CPP,,,,,,,
2009-03-27,"CLOVER COMMUNITY BANKSHARES, INC.",3000000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,2684338,,holding company,136800000.00,,Clover,SC,,CPP,,,,,,,
2009-03-27,Colonial American Bank,574000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,58412,,bank,36564000.00,FDIC,West Conshohocke,PA,,CPP,,,,,,,
2009-03-27,CSRA BANK CORP.,2400000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,1493672,,holding company,110414000.00,,Wrens,GA,,CPP,,,,,,,
2009-03-27,"IBT BANCORP, INC.",2295000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3129881,,holding company,93468000.00,,Irving,TX,,CPP,,,,,,,
2009-03-27,Maryland Financial Bank,1700000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,57821,,bank,63589000.00,FDIC,Towson,MD,,CPP,,,,,,,
2009-03-27,"MS FINANCIAL, INC.",7723000.00,Par,Preferred Stock w/ Exercised Warrants,Purchase,3536498,,holding company,294869000.00,,Kingwood,TX,,CPP,,,,,,,
