Date,Ticker,Name,Tier,Currency,Docclause,Tenor,Composite
14-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
15-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
16-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
17-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
18-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
21-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
22-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
23-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
24-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
25-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
28-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
29-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
30-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
31-May-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
01-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
04-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
05-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
06-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
07-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
08-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
11-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
12-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
13-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
14-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
15-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
18-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
19-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
20-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
21-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
22-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
25-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
26-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
27-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
28-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
29-Jun-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
02-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
03-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
04-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
05-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
06-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
09-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
10-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
11-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,12
12-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
13-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
16-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
17-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
18-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,13
19-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,12
20-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,18
23-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,18
24-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
25-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,21
26-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,23
27-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
30-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
31-Jul-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
01-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,34
02-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,34
03-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,36
06-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,36
07-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,35
08-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
09-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,33
10-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,33
13-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,31
14-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
15-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
16-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,33
17-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
20-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
21-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
22-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
23-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
24-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
27-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
28-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
29-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
30-Aug-2007,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
