County Name,State Name,State FIPS,County FIPS,Total Deposits ($),TARP CPP Deposits ($),TARP CPP Deposits (%),Total Branches ,TARP CPP Branches,TARP CPP Branches (%),Total HMDA Loan Originations (#),TARP HMDA Loan Originations (#),TARP HMDA Loan Originations (%)
Autauga County,Alabama,1,1,456274000,228546000,0.5009,16,8,0.5,1083,583,0.5388
Baldwin County,Alabama,1,3,3133466000,1216309000,0.3882,87,40,0.4598,4163,2038,0.4896
Barbour County,Alabama,1,5,436180000,127233000,0.2917,14,5,0.3571,243,131,0.5412
Bibb County,Alabama,1,7,188569000,43048000,0.2283,8,2,0.25,181,63,0.3508
Blount County,Alabama,1,9,471728000,216791000,0.4596,11,2,0.1818,906,456,0.5036
Bullock County,Alabama,1,11,154895000,0,0,2,0,0,41,9,0.2291
Butler County,Alabama,1,13,283714000,156283000,0.5508,11,7,0.6364,241,132,0.5502
Calhoun County,Alabama,1,15,1598581000,501267000,0.3136,35,11,0.3143,1277,480,0.376
Chambers County,Alabama,1,17,304577000,0,0,10,0,0,312,99,0.32
Cherokee County,Alabama,1,19,186853000,100736000,0.5391,4,1,0.25,330,177,0.5375
Chilton County,Alabama,1,21,412132000,126990000,0.3081,10,2,0.2,553,233,0.4231
Choctaw County,Alabama,1,23,214992000,107050000,0.4979,5,2,0.4,90,44,0.4972
Clarke County,Alabama,1,25,514126000,50539000,0.0983,17,2,0.1176,242,104,0.4329
Clay County,Alabama,1,27,186759000,0,0,5,0,0,98,35,0.3603
Cleburne County,Alabama,1,29,177459000,0,0,6,0,0,150,48,0.3254
Coffee County,Alabama,1,31,489575000,257252000,0.5255,11,3,0.2727,757,362,0.4791
Colbert County,Alabama,1,33,689157000,362812000,0.5265,18,11,0.6111,823,397,0.4833
Conecuh County,Alabama,1,35,117350000,38995000,0.3323,3,1,0.3333,108,65,0.6067
Coosa County,Alabama,1,37,13515000,0,0,1,0,0,99,41,0.4195
Covington County,Alabama,1,39,675433000,76028000,0.1126,14,2,0.1429,523,342,0.6554
Crenshaw County,Alabama,1,41,193912000,0,0,5,0,0,119,56,0.4722
