TLGP Case No. (Institutions and all their subsidiaries get the number),FDIC Bank ID No. (Certificate Number),FDIC Bank Holding Company ID No. (RSSD ID),Thrift Holding Company ID No. (THC Number),Entity Name,City,State,"Transaction Account Guarantee Option (Yes or No, Blank entries are holding companies that aren't eligible for this option)",Debt Guarantee Option (Yes or No)
4.1,18664,,,Advanta  Bank,WILMINGTON,DE,N,N
4.2,33535,,,Advanta Bank Corp.,DRAPER,UT,N,N
23.1,,1081622,,SOUTH BANKING COMPANY,ALMA,GA, ,N
23.1,15699,,,Alma Exchange Bank & Trust,ALMA,GA,Y,N
23.1,18605,,,Pineland State Bank,METTER,GA,Y,N
23.1,19604,,,Peoples State Bank & Trust,BAXLEY,GA,Y,N
23.1,19753,,,Citizens State Bank,KINGSLAND,GA,Y,N
23.2,,1081725,,SOUTH GEORGIA BANKSHARES CORPORATION,LYONS,GA, ,N
23.2,15216,,,Peoples Bank,LYONS,GA,Y,N
28.1,,1075612,,"FIRST CITIZENS BANCSHARES, INC.",RALEIGH,NC, ,N
28.1,11063,,,First-Citizens Bank & Trust Company,RALEIGH,NC,Y,N
28.1,34340,,,IronStone  Bank,RALEIGH,NC,Y,N
28.2,,1075694,,"SOUTHERN BANCSHARES (N.C.), INC.",MOUNT OLIVE,NC, ,N
28.2,15359,,,Southern Bank and Trust Company,MOUNT OLIVE,NC,Y,N
28.3,,1075911,,"FIRST CITIZENS BANCORPORATION, INC.",COLUMBIA,SC, ,Y
28.3,15077,,,"The Exchange Bank of South Carolina, Inc.",KINGSTREE,SC,Y,Y
28.3,15337,,,"Merchants and Farmers Bank of Comer, Georgia",COMER,GA,Y,Y
28.3,15504,,,"First Citizens Bank and Trust Company, Inc.",COLUMBIA,SC,Y,Y
28.4,,1249002,,"FIDELITY BANCSHARES (N.C.), INC.",FUQUAY-VARINA,NC, ,N
28.4,11507,,,The Fidelity Bank,FUQUAY-VARINA,NC,Y,N
28.5,,2856340,,"HERITAGE BANCSHARES, INC.",LUCAMA,NC, ,N
28.5,8939,,,The Heritage Bank,LUCAMA,NC,Y,N
