"code","npias","name","city","state","ADO","service_level","district","id","airport_id","year","operations"
"ADK","02-0001","Adak","Adak Island","AK","AAL","GA",1,,"",,
"AKK","02-0002","Akhiok","Akhiok","AK","AAL","",,,"",,
"Z13","02-0345","Akiachak","Akiachak","AK","AAL","",,,"",,
"+076","02-0461","Akiachak (Proposed GA)","Akiachak","AK","AAL","",,,"",,
"AKI","02-0004","Akiak","Akiak","AK","AAL","",,,"",,
"KQA","02-0346","Akutan","Akutan","AK","AAL","GA",1,,"",,
"+01D","02-0005","Akutan (Proposed GA)","Akutan","AK","AAL","",1,,"",,
"AUK","02-0332","Alakanuk","Alakanuk","AK","AAL","",,,"",,
"+01F","02-0440","Alakanuk (Proposed CM)","Alakanuk","AK","AAL","",1,,"",,
"5A8","02-0359","Aleknagik /New/","Aleknagik","AK","AAL","",,,"",,
"6A8","02-0009","Allakaket","Allakaket","AK","AAL","CS",1,,"",,
"AFM","02-0354","Ambler","Ambler","AK","AAL","",,,"",,
"AKP","02-0012","Anaktuvuk Pass","Anaktuvuk Pass","AK","AAL","",,,"",,
"LHD","02-0013","Lake Hood","Anchorage","AK","AAL","P",1,,"",,
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,8334,"MRI",2004,191516
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,8825,"MRI",2005,190816
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,9320,"MRI",2006,187798
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,9818,"MRI",2007,174848
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,10319,"MRI",2008,167780
"MRI","02-0015","Merrill Field","Anchorage","AK","AAL","CS",1,10824,"MRI",2009,86151
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,8049,"ANC",2004,309460
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,8537,"ANC",2005,316242
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,9029,"ANC",2006,303108
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,9523,"ANC",2007,299917
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,10023,"ANC",2008,277870
"ANC","02-0016","Ted Stevens Anchorage International","Anchorage","AK","AAL","P",1,10526,"ANC",2009,116167
"AGN","02-0018","Angoon","Angoon","AK","AAL","",,,"",,
"+07E","02-0476","Angoon (Proposed GA)","Angoon","AK","AAL","",1,,"",,
"ANI","02-0019","Aniak","Aniak","AK","AAL","P",1,,"",,
"ANV","02-0021","Anvik","Anvik","AK","AAL","",,,"",,
"ARC","02-0022","Arctic Village","Arctic Village","AK","AAL","",,,"",,
"AKA","02-0394","Atka","Atka","AK","AAL","GA",1,,"",,
"4A2","02-0379","Atmautluak","Atmautluak","AK","AAL","",,,"",,
"ATK","02-0023","Atqasuk Edward Burnell Sr Memorial","Atqasuk","AK","AAL","",,,"",,
"BNF","02-0451","Warm Spring Bay","Baranof","AK","AAL","",,,"",,
"BRW","02-0026","Wiley Post-Will Rogers Memorial","Barrow","AK","AAL","P",1,,"",,
"BTI","02-0027","Barter Island LRRS","Barter Island Lrrs","AK","AAL","CS",1,,"",,
"WBQ","02-0028","Beaver","Beaver","AK","AAL","",,,"",,
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,8072,"BET",2004,101510
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,8560,"BET",2005,103824
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,9052,"BET",2006,98688
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,9546,"BET",2007,100375
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,10046,"BET",2008,98027
"BET","02-0029","Bethel","Bethel","AK","AAL","P",1,10549,"BET",2009,40113
