Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"299,418","352,467","480,779","608,843","619,075","950,397","1,335,958","1,626,433","1,682,823","1,714,516","1,685,751","1,632,812","1,661,625","1,750,684","1,831,398","1,892,683","1,139,834","1,145,480"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,"177,851","186,140","182,816","437,495","296,908","467,183","482,426","429,520","436,688","447,141","374,298","367,276","403,590","398,580","374,327",,,"413,253"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"56,717,103","57,359,460","57,638,845","56,205,377","56,748,365","63,843,338","68,792,405","64,400,794","69,780,268","73,287,151","72,257,156","70,380,463","71,009,626","75,472,721","71,568,673","80,201,099","86,357,678","96,203,649"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"632,147","632,047","603,670","601,499","718,306","405,518",,,,,,,,,0,0,"830,138","887,474"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,DO,"20,908,736","23,408,613","22,644,447","22,610,200","23,280,724","22,994,349","23,732,064","25,545,861","25,659,786","25,561,560","24,746,728","23,387,683","23,679,298","22,777,516","23,039,735","22,212,839","23,278,494","21,187,503"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"1,354,019","1,753,986","2,161,532","2,100,713","1,839,976","1,873,087","2,047,084","1,987,505","2,008,235","2,019,776","1,936,350","1,749,238","1,793,748","1,688,996","1,795,611","1,966,935","2,322,012","3,138,787"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,DO,"224,836","253,612","273,497","279,737","291,545","289,274","268,894","275,330","256,744","259,370","263,196","273,496","288,434","274,634","273,581","276,408","275,130","277,528"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,PT,"60,536","72,600","93,391","116,441","150,789","164,067","168,261","160,082","178,409","171,550","168,014","161,845","166,069","182,335","189,626","217,573","231,580","238,988"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,DO,"7,272,314","7,040,072","7,510,779","7,485,275","7,467,089","7,831,964","8,171,745","7,944,416","8,099,072","8,512,225","8,370,460","7,522,394","7,504,713","7,740,360","7,688,002","8,408,678","9,436,662","11,110,476"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,DO,"44,004","62,127","73,108","86,834","73,641","77,112","89,167","87,668","68,559","66,620","85,500","88,263","102,426","101,971","129,548","163,826","166,996","224,264"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"168,550","184,450","173,685","172,917","166,835","161,281","137,848","151,506","127,755","120,904","132,334","150,876","161,544","165,987","152,855","118,326","120,459","125,500"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"195,778","186,564","254,696","305,286","363,391","240,525","200,524","342,600","314,885","341,166","263,718","274,630","268,288","262,691","262,766","287,284","302,724","326,186"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"9,207,935","9,417,617","9,508,146","11,810,763","11,472,818","11,901,316","13,192,726","13,007,411","13,531,889","13,556,966","13,483,704","12,978,585","13,265,299","13,992,713","12,245,514","12,409,416","13,307,473","14,985,277"
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"412,000","520,150","496,914","267,168",,,,,,,,,,,0,0,0,0
2008,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"79,250","158,176","219,750","268,250","267,767","315,750","396,500","429,750","483,500","577,500","631,750","594,750","636,744","690,500","734,430","815,139","788,868","851,991"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"40,291","40,969","40,948","42,030","37,189","41,196","51,330","50,132","55,800","60,106","57,399","53,726","81,471","89,695","91,366","95,169","103,302","111,674"
2008,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"1,775,577","1,839,419","1,910,627","2,009,267","1,735,118","1,598,187","1,459,291","1,462,340","1,381,854","1,493,189","1,559,394","1,513,054","1,924,034","1,927,339","1,957,478","2,112,866","2,228,193","2,517,200"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",DR,PT,"61,531","61,531","74,006","89,752","100,295","76,188","86,365","81,771","71,646","66,716","72,228","58,852","73,302","76,546","80,963","74,314","82,831","102,529"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",MB,DO,"1,384,526","1,551,488","1,561,389","1,384,032","1,149,595","1,031,727","870,632","925,007","935,600","1,212,384","1,283,544","1,090,335","1,026,056","1,028,870","1,083,488","1,176,616","1,279,642","1,455,104"
2008,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",VP,DO,,,,,,,,,,,,"17,050","22,560","30,720","53,837","54,562","71,705","97,900"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",DR,PT,"43,569","81,889","79,239","89,943","94,282","101,898","102,850","102,829","96,303","101,437","110,168","110,358","116,197","121,171","114,614","133,033","140,930","155,440"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",MB,DO,"6,494,519","6,443,222","6,643,940","6,691,374","7,056,425","7,561,087","7,776,330","7,635,934","7,998,370","8,076,448","8,623,622","8,582,138","8,190,436","8,207,818","8,348,879","9,309,522","9,757,984","11,407,709"
2008,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",VP,PT,,,,,,,,,,,,,,,"3,328","14,452","14,544","24,561"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,"10,871","40,667","83,082","96,536","76,092",,,,,,,,,
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,PT,"436,432","410,746","418,660","498,117","530,310","553,874","613,814","649,989","680,399","735,850","781,854","845,594","918,967","958,230","1,026,162","1,050,146","1,084,136","1,122,041"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",LR,DO,"6,981,929","7,702,542","7,770,651","8,482,255","7,779,507","10,047,947","10,432,414","11,846,048","22,723,534","24,362,806","24,976,610","28,253,547","31,149,038","31,516,208","34,755,147","34,591,510","36,123,810","38,931,646"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"51,180,048","53,259,498","52,421,883","54,718,034","56,154,658","60,696,022","60,260,035","67,072,805","58,926,058","61,818,756","65,427,872","71,120,321","66,434,912","65,938,456","68,764,832","65,933,541","63,430,058","64,114,973"
2008,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,PT,"66,040","56,867","62,756","74,630","62,316",,,,,,,,,,,,,
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,DO,"7,567","9,315","12,390","18,803","20,219","23,186","24,708","25,223","27,031","25,949","28,784","31,062","33,911","35,614","34,561","35,479","36,637","45,327"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,PT,,,,,,,,,,,,,822,"2,851","3,401","2,832","2,388","1,921"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,DO,"801,194","773,782","847,002","1,051,002","1,319,983","1,193,164","1,175,543","1,148,227","1,094,641","1,069,068","1,107,392","1,128,674","1,114,896","990,625","960,341","928,729","934,624","1,052,886"
2008,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,PT,,,,,,,,,,,,,"41,765","82,511","110,367","123,710","125,706","192,351"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",DR,PT,"51,759","52,052","59,248","67,651","64,013","74,201","89,176","158,415","173,475","172,972","180,663","192,883","196,021","190,875","183,590","180,656","180,451","185,977"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",MB,DO,"3,166,303","3,050,659","3,058,469","3,029,483","3,019,765","3,052,690","3,156,596","3,220,524","3,316,060","3,356,982","3,339,940","3,120,567","3,339,451","3,536,059","3,975,074","3,948,228","3,989,137","4,220,677"
2008,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",VP,PT,,,,,,"37,191","44,625","42,143","48,122","61,050","73,298","68,588","83,579","88,075","90,560",0,0,0
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,DO,,0,,,,,,,,,,,,,,,,
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,PT,0,,,,,,,,,,,,,,,,,
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",DR,PT,"11,095","13,899","21,434","26,016",,,"36,979","38,312","38,720","36,930","39,193","41,444","41,127","42,282","43,033","46,044","44,174","46,895"
2008,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",MB,DO,"342,565","342,602","351,841","369,105",,,"406,677","380,876","379,304","268,277","275,842","330,607","325,565","336,517","322,273","330,403","341,028","361,256"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,DO,"111,322","100,332","141,300","142,544","160,114","157,304","191,350","198,072","198,186","198,084","278,519","293,573","318,690",,"374,419","418,704","427,330","434,894"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,PT,"9,059","14,966","13,595","18,570","25,740","26,830","101,705","132,378","132,486","132,371","95,400","101,499","129,554",,"201,996","161,824","204,356","234,097"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,DO,"2,608,090","2,439,729","2,974,228","2,969,452","3,272,813","3,647,220","3,832,365","3,806,833","3,806,811","3,806,811","2,855,209","2,747,574","2,832,341",,"3,066,920","3,146,208","3,286,960","3,084,422"
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,PT,"2,353","8,391","8,200","36,494","63,719","73,932",,,,,,,,,,,,
2008,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",VP,DO,"236,507","229,728","315,853","352,768","466,650","564,224","550,545","508,160","508,002","508,215","539,580","528,384","507,518",,"733,445","695,500","859,028","1,140,777"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,DO,"41,741","82,836","107,250","145,051","159,564","158,404","166,374","161,646","148,474","113,816","116,978","113,323","109,587","113,281","117,621","135,704","134,948","133,847"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,PT,"36,580",,,,,,,,,,,,,,,,,
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,DO,"3,055,487","3,513,970","3,238,111","4,002,683","3,764,719","3,445,877","3,704,308","3,376,800","3,376,669","2,782,800","2,508,952","2,416,856","2,586,011","2,755,305","2,869,758","3,264,358","3,638,433","4,318,859"
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,PT,"2,830",,,,,,,,,,,,,,,,,
2008,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",VP,DO,"43,426","93,270","94,860","108,864","139,608","120,204","137,504","160,584","189,274","230,100","252,720","254,996","263,924","298,684","381,958","467,104","532,644","688,966"
