Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"2,437,474","3,081,111","3,625,095","4,655,012","4,694,692","6,801,385","9,745,442","10,914,761","11,738,651","11,179,874","11,112,661","11,128,707","11,780,323","12,475,839","13,102,986","13,825,104","11,310,123"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,"192,114","184,519","192,750","443,646","307,356","518,247","520,570","453,875","472,289","468,273","365,916","379,678","410,245","409,335","380,324",,
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"362,335,461","382,554,388","376,331,250","380,340,587","376,567,068","433,077,492","449,185,423","402,355,077","438,517,821","460,124,637","446,716,820","428,968,369","433,019,222","457,908,164","415,515,600","438,465,911","463,901,941"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"5,210,476","4,364,939","4,339,803","3,641,272","3,615,049","2,048,190",,,,,,,,,0,0,"2,639,960"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,DO,"41,582,013","44,650,460","41,607,184","41,644,789","41,360,561","40,640,745","41,423,537","42,121,764","42,291,789","43,060,538","41,892,057","39,825,243","42,467,497","42,091,766","43,109,865","41,739,204","41,856,359"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"36,660,421","47,624,762","61,598,976","60,313,591","51,469,736","50,755,540","53,954,352","51,387,812","49,475,480","50,277,645","47,598,450","42,980,198","44,729,220","40,424,523","42,790,485","44,801,457","52,679,411"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,DO,"1,703,802","1,881,040","2,057,113","2,162,053","2,359,472","2,349,492","2,344,554","2,103,507","2,147,020","1,970,897","2,049,308","1,931,647","2,134,361","2,059,755","2,017,173","1,824,293","2,090,988"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,PT,"449,865","635,260","715,338","889,974","1,102,939","1,129,983","1,196,108","1,123,056","1,397,131","1,377,708","1,236,631","1,443,602","1,593,306","1,756,898","1,641,141","1,586,705","1,964,406"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,DO,"33,629,761","28,168,347","33,611,886","31,968,461","33,744,937","33,918,088","33,226,291","34,754,005","32,410,602","35,088,446","32,358,402","32,765,382","31,058,934","34,500,038","34,288,907","31,791,789","41,798,179"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,DO,"887,631","1,205,736","1,388,209","1,622,227","1,420,804","1,559,386","1,662,836","1,827,054","1,450,483","1,394,686","1,853,658","1,934,022","2,456,377","2,360,287","2,984,694","3,551,275","3,741,779"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"1,391,281","1,419,821","1,326,615","1,234,575","1,163,619","1,134,230","1,098,677","1,081,524","939,930","836,422","1,025,652","1,308,346","1,436,624","1,406,260","1,272,606","1,105,493","997,436"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"1,938,586","1,788,540","2,378,379","2,963,097","3,543,583","2,272,945","1,973,394","3,604,124","3,197,364","3,101,971","2,600,047","2,572,015","2,369,898","2,448,974","2,514,559","2,388,018","2,473,501"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"33,009,404","34,577,583","35,208,238","56,704,415","58,186,160","62,601,208","75,066,079","81,091,003","86,173,156","89,250,777","89,343,329","84,367,265","96,948,821","94,637,490","46,009,067","44,773,027","46,805,192"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"12,352,958","15,409,078","14,555,150","8,657,264",,,,,,,,,,,0,0,0
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"2,157,500","4,768,647","7,654,750","9,889,750","9,434,348","10,817,750","13,984,250","14,684,500","16,709,750","19,483,000","20,699,250","20,349,750","21,702,468","23,166,500","23,988,808","27,316,175","26,112,181"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"173,614","194,411","249,818","200,308","194,458","220,116","251,001","245,380","243,288","261,977","250,168","253,814","384,790","423,360","387,452","403,579","501,343"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"5,744,461","5,467,632","6,170,829","5,545,577","5,623,960","4,206,362","3,840,767","3,845,920","5,082,886","5,508,584","5,752,856","5,153,408","6,553,260","6,564,517","7,142,928","7,690,665","8,107,241"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",DR,PT,"165,391","165,391","182,292","412,942","398,525","266,453","267,392","171,630","308,709","319,072","345,384","333,840","256,094","409,327","418,078","289,153","287,666"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",MB,DO,"4,226,760","4,964,668","5,044,401","4,142,736","2,529,027","2,166,687","1,844,756","1,942,914","2,058,248","3,394,552","3,593,420","3,107,455","2,924,260","2,932,278","3,001,160","3,067,240","3,637,702"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",VP,DO,,,,,,,,,,,,"82,489","198,960","273,840","1,938,132","1,941,156","2,623,320"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",DR,PT,"189,397","438,109","457,348","502,810","517,556","530,729","566,540","611,253","595,070","655,877","743,209","743,394","756,832","787,929","755,355","960,198","1,072,290"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",MB,DO,"26,210,724","25,993,121","28,782,212","29,000,374","30,574,882","32,779,717","33,175,673","32,773,811","34,329,404","34,792,386","30,954,161","30,781,460","26,651,598","32,313,579","35,004,571","38,908,469","35,667,644"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",VP,PT,,,,,,,,,,,,,,,"144,364","641,873","650,211"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,"14,431","58,292","91,309",0,"150,777",,,,,,,,
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,PT,"4,089,256","3,762,828","3,684,208","4,383,430","4,666,728",0,"7,314,423","5,830,767","6,057,709","6,624,864","6,830,828","7,244,220","8,023,542","8,497,525","9,068,552","9,289,193","9,684,352"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",LR,DO,"40,895,614","41,292,221","43,142,869","46,418,361","39,689,969","47,866,023","54,727,726","63,299,139","128,491,830","140,859,890","144,023,605","167,554,612","169,571,618","181,760,354","178,499,147","179,875,394","186,540,535"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"175,040,451","178,743,516","177,541,615","207,248,361","201,893,237","225,295,110","229,358,461","237,049,756","206,844,098","207,760,486","216,054,689","239,044,998","237,345,046","241,598,358","245,065,287","247,565,590","223,265,805"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,PT,"787,400","616,704","624,330","841,370","402,713",,,,,,,,,,,,
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,DO,"41,463","49,276","70,623","107,177","115,046","131,928","140,835","161,679","172,998","166,533","165,488","175,103","190,233","192,554","200,502","215,132","222,020"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,PT,,,,,,,,,,,,,"3,633","10,748","15,936","17,420","14,686"
