2-27-2007,"The Federal Home Loan Mortgage Corporation (Freddie Mac) announces that it will no longer buy the most risky subprime mortgages and mortgage-related securities."
4-2-2007,"New Century Financial Corporation, a leading subprime mortgage lender, files for Chapter 11 bankruptcy protection."
6-1-2007,"Standard and Poor's and Moody's Investor Services downgrade over 100 bonds backed by second-lien subprime mortgages."
6-7-2007,"Bear Stearns informs investors that it is suspending redemptions from its High-Grade Structured Credit Strategies Enhanced Leverage Fund."
6-28-2007,"The Federal Open Market Committee (FOMC) votes to maintain its target for the federal funds rate at 5.25 percent."
7-11-2007,"Standard and Poor's places 612 securities backed by subprime residential mortgages on a credit watch."
7-24-2007,"Countrywide Financial Corporation warns of \"difficult conditions.\""
7-31-2007,"Bear Stearns liquidates two hedge funds that invested in various types of mortgage-backed securities."
8-6-2007,"American Home Mortgage Investment Corporation files for Chapter 11 bankruptcy protection."
8-7-2007,"The FOMC votes to maintain its target for the federal funds rate at 5.25 percent."
8-9-2007,"BNP Paribas, France's largest bank, halts redemptions on three investment funds."
8-10-2007,"The Federal Reserve Board announces that it \"will provide reserves as necessary…to promote trading in the federal funds market at rates close to the FOMC's target rate of 5.25 percent. In current circumstances, depository institutions may experience unusual funding needs because of dislocations in money and credit markets. As always, the discount window is available as a source of funding.\""
8-16-2007,"Fitch Ratings downgrades Countrywide Financial Corporation to BBB+, its third lowest investment-grade rating, and Countrywide borrows the entire $11.5 billion available in its credit lines with other banks."
8-17-2007,"The Federal Reserve Board votes to reduce the primary credit rate 50 basis points to 5.75 percent, bringing the rate to only 50 basis points above the FOMC's federal funds rate target. The Board also increases the maximum primary credit borrowing term to 30 days, renewable by the borrower."
9-14-2007,"The Chancellor of the Exchequer authorizes the Bank of England to provide liquidity support for Northern Rock, the United Kingdom's fifth-largest mortgage lender."
9-18-2007,"The FOMC votes to reduce its target for the federal funds rate 50 basis points to 4.75 percent. The Federal Reserve Board votes to reduce the primary credit rate 50 basis points to 5.25 percent."
10-10-2007,"U.S. Treasury Secretary Paulson announces the HOPE NOW initiative, an alliance of investors, servicers, mortgage market participants, and credit and homeowners' counselors encouraged by the Treasury Department and the Department of Housing and Urban Development."
10-15-2007,"Citigroup, Bank of America, and JPMorgan Chase announce plans for an $80 billion Master Liquidity Enhancement Conduit to purchase highly rated assets from existing special purpose vehicles."
10-31-2007,"The FOMC votes to reduce its target for the federal funds rate 25 basis points to 4.50 percent. The Federal Reserve Board votes to reduce the primary credit rate 25 basis points to 5.00 percent."
11-1-2007,"Financial market pressures intensify, reflected in diminished liquidity in interbank funding markets."
12-11-2007,"The FOMC votes to reduce its target for the federal funds rate 25 basis points to 4.25 percent. The Federal Reserve Board votes to reduce the primary credit rate 25 basis points to 4.75 percent."
12-12-2007,"The Federal Reserve Board announces the creation of a Term Auction Facility (TAF) in which fixed amounts of term funds will be auctioned to depository institutions against a wide variety of collateral. The FOMC authorizes temporary reciprocal currency arrangements (swap lines) with the European Central Bank (ECB) and the Swiss National Bank (SNB). The Fed states that it will provide up to $20 billion and $4 billion to the ECB and SNB, respectively, for up to 6 months."
12-21-2007,"The Federal Reserve Board announces that TAF auctions will be conducted every two weeks as long as financial market conditions warrant."
12-21-2007,"Citigroup, JPMorgan Chase, and Bank of America abandon plans for the Master Liquidity Enhancement Conduit, announcing that the fund \"is not needed at this time.\""
1-11-2008,"Bank of America announces that it will purchase Countrywide Financial in an all-stock transaction worth approximately $4 billion."
1-18-2008,"Fitch Ratings downgrades Ambac Financial Group's insurance financial strength rating to AA, Credit Watch Negative. Standard and Poor's place Ambac's AAA rating on CreditWatch Negative."
1-22-2008,"In an intermeeting conference call, the FOMC votes to reduce its target for the federal funds rate 75 basis points to 3.5 percent. The Federal Reserve Board votes to reduce the primary credit rate 75 basis points to 4 percent."
1-30-2008,"The FOMC votes to reduce its target for the federal funds rate 50 basis points to 3 percent. The Federal Reserve Board votes to reduce the primary credit rate 50 basis points to 3.5 percent."
2-13-2008,"President Bush signs the Economic Stimulus Act of 2008 (Public Law 110-185) into law."
2-17-2008,"Northern Rock is taken into state ownership by the Treasury of the United Kingdom."
3-5-2008,"Carlyle Capital Corporation receives a default notice after failing to meet margin calls on its mortgage bond fund."
3-7-2008,"The Federal Reserve Board announces $50 billion TAF auctions on March 10 and March 24 and extends the TAF for at least 6 months. The Board also initiates a series of term repurchase transactions, expected to cumulate to $100 billion, conducted as 28-day term repurchase agreements with primary dealers."
3-11-2008,"The Federal Reserve Board announces the creation of the Term Securities Lending Facility (TSLF), which will lend up to $200 billion of Treasury securities for 28-day terms against federal agency debt, federal agency residential mortgage-backed securities (MBS), non-agency AAA/Aaa private label residential MBS, and other securities. The FOMC increases its swap lines with the ECB by $10 billion and the Swiss National Bank by $2 billion and also extends these lines through September-30-2008."
3-14-2008,"The Federal Reserve Board approves the financing arrangement announced by JPMorgan Chase and Bear Stearns [see note for March 24]. The Federal Reserve Board also announces they are \"monitoring market developments closely and will continue to provide liquidity as necessary to promote the orderly function of the financial system.\""
3-16-2008,"The Federal Reserve Board establishes the Primary Dealer Credit Facility (PDCF), extending credit to primary dealers at the primary credit rate against a broad range of investment grade securities. The Federal Reserve Board votes to reduce the primary credit rate 25 basis points to 3.25 percent, lowering the spread between the primary credit rate and FOMC target for the federal funds rate to 25 basis points. The Board also votes to increase the maximum maturity of primary credit loans to 90 days."
3-18-2008,"The FOMC votes to reduce its target for the federal funds rate 75 basis points to 2.25 percent. The Federal Reserve Board votes to reduce the primary credit rate 75 basis points to 2.50 percent."
3-24-2008,"The Federal Reserve Bank of New York announces that it will provide term financing to facilitate JPMorgan Chase &amp; Co.'s acquisition of The Bear Stearns Companies Inc. A limited liability company (Maiden Lane) is formed to control $30 billion of Bear Stearns assets that are pledged as security for $29 billion in term financing from the New York Fed at its primary credit rate. JPMorgan Chase will assume the first $1 billion of any losses on the portfolio."
4-30-2008,"The FOMC votes to reduce its target for the federal funds rate 25 basis points to 2 percent. The Federal Reserve Board votes to reduce the primary credit rate 25 basis points to 2.25 percent."
5-2-2008,"The FOMC expands the list of eligible collateral for Schedule 2 TSLF auctions to include AAA/Aaa-rated asset-backed securities, in addition to already eligible residential and commercial MBS and agency collateralized mortgage obligations. The FOMC also increases existing swap lines with the ECB by $20 billion and with the Swiss National Bank by $6 billion. The Federal Reserve Board expands TAF auctions from $50 billion to $75 billion."
6-5-2008,"The Federal Reserve Board announces approval of the notice of Bank of America to acquire Countrywide Financial Corporation."
6-5-2008,"Standard and Poor's downgrades monoline bond insurers AMBAC and MBIA from AAA to AA."
6-25-2008,"The FOMC votes to maintain its target for the federal funds rate at 2.00 percent."
7-11-2008,"The Office of Thrift Supervision closes IndyMac Bank, F.S.B. The Federal Deposit Insurance Corporation (FDIC) announces the transfer of the insured deposits and most assets of IndyMac Bank, F.S.B. to IndyMac Federal Bank, FSB."
7-13-2008,"The Federal Reserve Board authorizes the Federal Reserve Bank of New York to lend to the Federal National Mortgage Association (Fannie Mae) and the Federal Home Loan Mortgage Corporation (Freddie Mac), should such lending prove necessary."
7-13-2008,"The U.S. Treasury Department announces a temporary increase in the credit lines of Fannie Mae and Freddie Mac and a temporary authorization for the Treasury to purchase equity in either GSE if needed."
7-15-2008,"The Securities Exchange Commission (SEC) issues an emergency order temporarily prohibiting naked short selling in the securities of Fannie Mae, Freddie Mac, and primary dealers at commercial and investment banks."
7-30-2008,"President Bush signs into law the Housing and Economic Recovery Act of 2008 (Public Law 110-289), which, among other provisions, authorizes the Treasury to purchase GSE obligations and reforms the regulatory supervision of the GSEs under a new Federal Housing Finance Agency."
7-30-2008,"The Federal Reserve Board extends the TSLF and PDCF through January-30-2009, introduces auctions of options on $50 billion of draws on the TSLF, and introduces 84-day TAF loans. The FOMC increases its swap line with the ECB to $55 billion."
8-5-2008,"The FOMC votes to maintain its target for the federal funds rate at 2.00 percent."
8-17-2008,"Following an intermeeting conference call, the FOMC releases a statement about the current financial market turmoil, and notes that the \"downside risks to growth have increased appreciably.\""
9-7-2008,"The Federal Housing Finance Agency (FHFA) places Fannie Mae and Freddie Mac in government conservatorship. The U.S. Treasury Department announces three additional measures to complement the FHFA's decision: 1) Preferred stock purchase agreements between the Treasury/FHFA and Fannie Mae and Freddie Mac to ensure the GSEs positive net worth; 2) a new secured lending facility which will be available to Fannie Mae, Freddie Mac, and the Federal Home Loan Banks; and 3) a temporary program to purchase GSE MBS."
9-14-2008,"The Federal Reserve Board expands the list of eligible collateral for the PDCF to include any collateral that can be pledged in the tri-party repo system of the two major clearing banks. Previously PDCF collateral had been limited to investment-grade debt securities. The Board also expands the list of collateral accepted by TSLF to include all investment-grade debt securities and increases the frequency of Schedule 2 TSLF auctions and total offering to $150 billion. The Board also adopts an interim final rule that provides temporary exceptions to Section 23A of the Federal Reserve Act to allow insured depository institutions to provide liquidity to their affiliates for assets typically funded in the tri-party repo market."
9-15-2008,"Bank of America announces its intent to purchase Merrill Lynch &amp; Co. for $50 billion."
9-15-2008,"Lehman Brothers Holdings Incorporated files for Chapter 11 bankruptcy protection."
