date,Reserve Bank credit,U.S. Treasury securities,Federal agency debt securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Central bank liquidity swaps,NON_BAILOUT_SUM
2009-2-26,1900189,474684,35869,0,64408,7,2,0,43395,68529,447563,25618,11382,38046,246233,0,25924,18641,27677,374590,618365
2009-2-19,1907301,474790,32558,0,65992,4,3,0,45793,63071,447563,26001,13875,37355,250358,0,25883,18631,27639,379687,619140
2009-2-12,1830406,474910,31831,0,64574,35,4,0,44617,7377,412883,25805,15111,37677,256153,0,25863,18674,27528,389671,615971
2009-2-5,1840746,475034,29029,0,67426,5,2,0,44209,7377,412883,30264,16981,39013,259315,0,25785,18965,27464,388791,615705
2009-1-29,1989877,475200,26668,17143,64990,34,1,0,44428,6824,415859,32054,14593,38336,316201,0,26980,19692,27037,465853,628464
2009-1-22,2049246,475381,24158,37143,61618,74,1,0,520184,5784,416031,32679,15482,38445,349940,0,27131,19802,26946,,1118559
2009-1-15,2069182,475589,20358,57143,69101,41,0,0,575496,1542,371387,33690,18767,39124,334582,0,27070,19795,26889,,1197728
2009-1-8,2177564,,,77143,87935,16,2,0,605725,,406805,35977,22868,39003,334272,0,27028,20071,26798,,770821
2009-1-2,2246527,,,80000,86550,18,4,0,625741,,450219,38476,23797,38924,332410,0,26974,20059,27990,,792313
2008-12-29,2207272,,,80000,86260,51,3,0,613939,,420806,45679,24858,40018,325796,0,26918,20033,28085,,780253
2008-12-18,2253739,,,80000,88407,3,2,0,642233,,447959,50493,29274,44347,315267,0,26892,17519,19608,,810645
2008-12-11,2241457,,,80000,90161,78,2,0,628030,,447959,52802,40826,56723,308518,0,27054,,20957,,798271
2008-12-4,2117751,,,80000,90333,158,4,0,542474,,406508,57198,51936,55944,297576,0,26994,,21153,,712969
2008-11-28,2093892,,,80000,93628,225,5,0,520864,,406508,52418,57318,79585,282197,0,26928,,6010,,694722
2008-11-20,2178894,,,80000,91552,112,9,85177,606429,,415302,50170,69798,,265691,,26945,,,,863279
2008-11-13,2198204,,,80000,95380,89,10,82275,615041,,415302,64933,80244,,249910,,26876,,,,872795
2008-11-6,2055846,,,80000,109994,0,10,80257,573915,,301363,77020,91729,,226008,,26850,,,,844176
2008-10-30,1872948,,,80000,111946,1,17,89549,546006,,301363,87393,99902,,40819,,26809,,,,827519
2008-10-23,1803300,,,80000,105754,0,19,87332,522906,,263092,111255,114219,,,,29137,,,,796011
2008-10-16,1740078,,,80000,99659,4,25,77101,440320,,263092,131125,129616,,,,29492,,,,697109
2008-10-9,1494726,,,81143,75010,4,39,65151,325071,,149000,134066,145890,,,,29452,,,,546418
2008-10-2,1388565,,,83000,44463,286,74,53176,271888,,149143,147692,122104,,,,29413,,,,452887
2008-9-25,1134942,,,111714,39357,19,95,38375,176891,,150000,88147,21760,,,,29373,,,,366451
2008-9-18,931340,,,124500,21598,8,96,6000,100791,,150000,,,,,,29333,,,,252993
2008-9-11,888283,,,110821,19796,0,95,0,99563,,150000,,,,,,29293,,,,230275
2008-9-4,893846,,,115893,18976,0,93,0,101404,,150000,,,,,,29253,,,,236366
