date,Reserve Bank credit,U.S. Treasury securities,Repurchase agreements,Primary credit,Secondary credit,Seasonal credit,Other credit extensions,Other federal reserve assets,Mortgage-backed securities,Term Auction credit,Primary dealer and other broker-dealer credit,Asset-backed Commercial Paper Money Market Mutual Fund Liquidity Facility,"Credit extended to American International Group, Inc.",Net portfolio holdings of Commercial Paper Funding Facility LLC,Net portfolio holdings of LLCs funded through the Money market Investor Funding Facility,Net portfolio holdings of Maiden Lane LLC,Net portfolio holdings of Maiden Lane II LLC,Net portfolio holdings of Maiden Lane III LLC,Federal agency debt securities,Central bank liquidity swaps,Term Facility
2009-2-26,1900189,474684,0,64408,7,2,0,43395,68529,447563,25618,11382,38046,246233,0,25924,18641,27677,35869,374590,111556
2009-2-19,1907301,474790,0,65992,4,3,0,45793,63071,447563,26001,13875,37355,250358,0,25883,18631,27639,32558,379687,115280
2009-2-12,1830406,474910,0,64574,35,4,0,44617,7377,412883,25805,15111,37677,256153,0,25863,18674,27528,31831,389671,116773
2009-2-5,1840746,475034,0,67426,5,2,0,44209,7377,412883,30264,16981,39013,259315,0,25785,18965,27464,29029,388791,120630
2009-1-29,1989877,475200,17143,64990,34,1,0,44428,6824,415859,32054,14593,38336,316201,0,26980,19692,27037,26668,465853,125094
2009-1-22,2049246,475381,37143,61618,74,1,0,520184,5784,416031,32679,15482,38445,349940,0,27131,19802,26946,24158,,133100
2009-1-15,2069182,475589,57143,69101,41,0,0,575496,1542,371387,33690,18767,39124,334582,0,27070,19795,26889,20358,,132879
2009-1-8,2177564,475797,77143,87935,16,2,0,605725,,406805,35977,22868,39003,334272,0,27028,20071,26798,,,161100
2009-1-2,2246527,475961,80000,86550,18,4,0,625741,,450219,38476,23797,38924,332410,0,26974,20059,27990,,,173171
2008-12-29,2207272,476067,80000,86260,51,3,0,613939,,420806,45679,24858,40018,325796,0,26918,20033,28085,,,177596
2008-12-18,2253739,476178,80000,88407,3,2,0,642233,,447959,50493,29274,44347,315267,0,26892,17519,19608,,,181575
2008-12-11,2241457,476286,80000,90161,78,2,0,628030,,447959,52802,40826,56723,308518,0,27054,,20957,,,185146
2008-12-4,2117751,476389,80000,90333,158,4,0,542474,,406508,57198,51936,55944,297576,0,26994,,21153,,,190892
2008-11-28,2093892,476415,80000,93628,225,5,0,520864,,406508,52418,57318,79585,282197,0,26928,,6010,,,187447
2008-11-20,2178894,476431,80000,91552,112,9,85177,606429,,415302,50170,69798,,265691,,26945,,,,,191256
2008-11-13,2198204,476446,80000,95380,89,10,82275,615041,,415302,64933,80244,,249910,,26876,,,,,199999
2008-11-6,2055846,476462,80000,109994,0,10,80257,573915,,301363,77020,91729,,226008,,26850,,,,,199999
2008-10-30,1872948,476485,80000,111946,1,17,89549,546006,,301363,87393,99902,,40819,,26809,,,,,197499
2008-10-23,1803300,476528,80000,105754,0,19,87332,522906,,263092,111255,114219,,,,29137,,,,,197499
2008-10-16,1740078,476552,80000,99659,4,25,77101,440320,,263092,131125,129616,,,,29492,,,,,194546
2008-10-9,1494726,476594,81143,75010,4,39,65151,325071,,149000,134066,145890,,,,29452,,,,,191343
2008-10-2,1388565,476612,83000,44463,286,74,53176,271888,,149143,147692,122104,,,,29413,,,,,233565
2008-9-25,1134942,476557,111714,39357,19,95,38375,176891,,150000,88147,21760,,,,29373,,,,,185636
2008-9-18,931340,479818,124500,21598,8,96,6000,100791,,150000,,,,,,29333,,,,,117270
2008-9-11,888283,479762,110821,19796,0,95,0,99563,,150000,,,,,,29293,,,,,115899
2008-9-4,893846,479701,115893,18976,0,93,0,101404,,150000,,,,,,29253,,,,,116105
2008-8-28,884355,479604,103393,18469,0,100,0,104788,,150000,,,,,,29213,,,,,117348
2008-8-21,887648,479500,107714,17513,0,95,0,104575,,150000,,,,,,29183,,,,,118989
2008-8-14,883000,479396,105786,17699,7,100,0,101987,,150000,,,,,,29145,,,,,128318
2008-8-7,889150,479291,110500,17370,0,93,0,103971,,150000,,,,,,29105,,,,,124862
2008-7-31,892783,479174,113714,17452,89,101,0,104507,,150000,,,,,,29065,,,,,121777
2008-7-24,882978,479089,104786,16381,34,96,0,104973,,150000,,,,,,29025,,,,,111557
2008-7-17,888418,479004,111143,13916,279,98,0,106359,,150000,,,,,,28955,,,,,100128
2008-7-10,887866,478925,113357,12856,57,101,0,105031,,150000,,,,,,28900,,,,,103754
2008-7-3,890030,478838,110250,14861,86,95,0,105864,,150000,,,,,,29816,,,,,104244
2008-6-26,874582,478773,121679,14702,0,77,0,104402,,150000,,,,,,,,,,,106460
2008-6-19,877428,478710,124643,13371,0,70,0,103354,,150000,,,,,,,,,,,111920
2008-6-12,873485,482050,116821,13148,224,67,0,104138,,150000,,,,,,,,,,,96967
2008-6-5,877723,486909,114107,15921,0,77,0,103695,,150000,,,,,,,,,,,99669
2008-5-29,878001,491064,105036,15950,1,54,0,104684,,150000,,,,,,,,,,,108164
2008-5-22,871207,502831,123357,13536,0,46,0,93140,,125000,,,,,,,,,,,122127
2008-5-15,866213,520054,95821,14416,1,37,0,95501,,125000,,,,,,,,,,,138089
2008-5-8,867629,542395,119571,11655,0,36,0,78959,,100000,,,,,,,,,,,142655
2008-5-1,864390,548680,107536,11588,0,25,0,79664,,100000,,,,,,,,,,,145629
2008-4-24,868439,548651,107786,10731,0,26,0,80466,,100000,,,,,,,,,,,155378
2008-4-17,867193,548622,106964,7841,0,18,0,80383,,100000,,,,,,,,,,,129100
2008-4-10,866836,560817,99179,10182,0,17,0,64765,,100000,,,,,,,,,,,96429
2008-4-3,875577,589085,77500,7013,0,7,0,64924,,100000,,,,,,,,,,,64286
