Date,Open,High,Low,Close,Volume,Adj Close
2009-01-12,890.40,890.40,864.32,870.26,4725050000,870.26
2009-01-09,909.91,911.93,888.31,890.35,4716500000,890.35
2009-01-08,905.73,910.00,896.81,909.73,4991550000,909.73
2009-01-07,927.45,927.45,902.37,906.65,4704940000,906.65
2009-01-06,931.17,943.85,927.28,934.70,5392620000,934.70
2009-01-05,929.17,936.63,919.53,927.45,5413910000,927.45
2009-01-02,902.99,934.73,899.35,931.80,4048270000,931.80
2008-12-31,890.59,910.32,889.67,903.25,4172940000,903.25
2008-12-30,870.58,891.12,870.58,890.64,3627800000,890.64
2008-12-29,872.37,873.70,857.07,869.42,3323430000,869.42
2008-12-26,869.51,873.74,866.52,872.80,1880050000,872.80
2008-12-24,863.87,869.79,861.44,868.15,1546550000,868.15
2008-12-23,874.31,880.44,860.10,863.16,4051970000,863.16
2008-12-22,887.20,887.37,857.09,871.63,4869850000,871.63
2008-12-19,886.96,905.47,883.02,887.88,6705310000,887.88
2008-12-18,905.98,911.02,877.44,885.28,5675000000,885.28
2008-12-17,908.16,918.85,895.94,904.42,5907380000,904.42
2008-12-16,871.53,914.66,871.53,913.18,6009780000,913.18
2008-12-15,881.07,884.63,857.72,868.57,4982390000,868.57
2008-12-12,871.79,883.24,851.35,879.73,5959590000,879.73
2008-12-11,898.35,904.63,868.73,873.59,5513840000,873.59
2008-12-10,892.17,908.27,885.45,899.24,5942130000,899.24
2008-12-09,906.48,916.26,885.38,888.67,5693110000,888.67
2008-12-08,882.71,918.57,882.71,909.70,6553600000,909.70
2008-12-05,844.43,879.42,818.41,876.07,6165370000,876.07
2008-12-04,869.75,875.60,833.60,845.22,5860390000,845.22
2008-12-03,843.60,873.12,827.60,870.74,6221880000,870.74
2008-12-02,817.94,850.54,817.94,848.81,6170100000,848.81
2008-12-01,888.61,888.61,815.69,816.21,6052010000,816.21
2008-11-28,886.89,896.25,881.21,896.24,2740860000,896.24
2008-11-26,852.90,887.68,841.37,887.68,5793260000,887.68
2008-11-25,853.40,868.94,834.99,857.39,6952700000,857.39
2008-11-24,801.20,865.60,801.20,851.81,7879440000,851.81
2008-11-21,755.84,801.20,741.02,800.03,9495900000,800.03
2008-11-20,805.87,820.52,747.78,752.44,9093740000,752.44
2008-11-19,859.03,864.57,806.18,806.58,6548600000,806.58
2008-11-18,852.34,865.90,826.84,859.12,6069470000,859.12
2008-11-17,873.23,882.29,848.98,850.75,4927490000,850.75
2008-11-14,904.36,916.88,869.88,873.29,5881030000,873.29
2008-11-13,853.13,913.01,818.69,911.29,7849120000,911.29
2008-11-12,893.39,893.39,850.48,852.30,5764180000,852.30
2008-11-11,917.15,917.15,884.90,898.95,4998340000,898.95
2008-11-10,936.75,951.95,907.47,919.21,4572000000,919.21
2008-11-07,907.44,931.46,906.90,930.99,4931640000,930.99
2008-11-06,952.40,952.40,899.73,904.88,6102230000,904.88
2008-11-05,1001.84,1001.84,949.86,952.77,5426640000,952.77
2008-11-04,971.31,1007.51,971.31,1005.75,5531290000,1005.75
2008-11-03,968.67,975.57,958.82,966.30,4492280000,966.30
2008-10-31,953.11,984.38,944.59,968.75,6394350000,968.75
2008-10-30,939.38,963.23,928.50,954.09,6175830000,954.09
2008-10-29,939.51,969.97,922.26,930.09,7077800000,930.09
2008-10-28,848.92,940.51,845.27,940.51,7096950400,940.51
2008-10-27,874.28,893.78,846.75,848.92,5558050000,848.92
2008-10-24,895.22,896.30,852.85,876.77,6550050000,876.77
2008-10-23,899.08,922.83,858.44,908.11,7184180000,908.11
2008-10-22,951.67,951.67,875.81,896.78,6147980000,896.78
2008-10-21,980.40,985.44,952.47,955.05,5121830000,955.05
2008-10-20,943.51,985.40,943.51,985.40,5175640000,985.40
2008-10-17,942.29,984.64,918.74,940.55,6581780000,940.55
2008-10-16,909.53,947.71,865.83,946.43,7984500000,946.43
2008-10-15,994.60,994.60,903.99,907.84,6542330000,907.84
2008-10-14,1009.97,1044.31,972.07,998.01,8161990400,998.01
2008-10-13,912.75,1006.93,912.75,1003.35,7263369600,1003.35
2008-10-10,902.31,936.36,839.80,899.22,11456230400,899.22
2008-10-09,988.42,1005.25,909.19,909.92,6819000000,909.92
2008-10-08,988.91,1021.06,970.97,984.94,8716329600,984.94
2008-10-07,1057.60,1072.91,996.23,996.23,7069209600,996.23
