10/28/2008,Bank of America Corporation ,Charlotte ,NC ,15000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,Bank of New York Mellon Corporation ,New York ,NY ,3000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,Citigroup Inc. ,New York ,NY ,25000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,The Goldman Sachs Group&#44; Inc. ,New York ,NY ,10000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,JPMorgan Chase & Co. ,New York ,NY ,25000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,Morgan Stanley ,New York ,NY ,10000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,State Street Corporation ,Boston ,MA ,2000000000,Preferred Stock w/Warrants ,Purchase,Par 
10/28/2008,Wells Fargo & Company ,San Francisco ,CA ,25000000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Bank of Commerce Holdings ,Redding ,CA ,17000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,1st FS Corporation ,Hendersonville ,NC ,16369000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,UCBH Holdings&#44; Inc. ,San Francisco ,CA ,298737000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Northern Trust Corporation ,Chicago ,IL ,1576000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,SunTrust Banks&#44; Inc. ,Atlanta ,GA ,3500000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Broadway Financial Corporation ,Los Angeles ,CA ,9000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Washington Federal Inc. ,Seattle ,WA ,200000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,BB&T Corp. ,Winston-Salem ,NC ,3133640000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Provident Bancshares Corp. ,Baltimore ,MD ,151500000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Umpqua Holdings Corp. ,Portland ,OR ,214181000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Comerica Inc. ,Dallas ,TX ,2250000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Regions Financial Corp. ,Birmingham ,AL ,3500000000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,Capital One Financial Corporation ,McLean ,VA ,3555199000,Preferred Stock w/Warrants ,Purchase,Par 
11/14/2008,First Horizon National Corporation ,Memphis ,TN ,866540000,Preferred Stock w/Warrants ,Purchase,Par 
