"#","Program Title","Agency/Office","Types of Assistance","Date Modified","Date Published"
"10.207","Animal Health and Disease Research","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS",8/17/2010 12:37,1/1/1981 0:00
"10.225","Community Food Projects","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/17/2010 7:36,1/1/1997 0:00
"10.253","Food Assistance and Nutrition Research Programs (FANRP)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.254","Program of Research on the Economic of Invasive Species Management (PREISM)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.255","Research Innovation and Development Grants in Economic (RIDGE)","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",10/30/2008 0:00,1/1/2008 0:00
"10.256","Consumer Data and Information Program","Department of Agriculture / Economic Research Service","L - DISSEMINATION OF TECHNICAL INFORMATION",11/29/2010 14:14,1/1/2007 0:00
"10.316","Healthy Urban Food Enterprise Development Center (HUFED)","Department of Agriculture / National Institute of Food and Agriculture","B - Project Grants",9/17/2010 7:37,7/10/2009 9:39
"10.477","Meat, Poultry, and Egg Products Inspection","Department of Agriculture / Food Safety and Inspection Service","J - PROVISION OF SPECIALIZED SERVICES",8/30/2010 10:00,1/1/1977 0:00
"10.500","Cooperative Extension Service","Department of Agriculture / National Institute of Food and Agriculture","A - FORMULA GRANTS, B - PROJECT GRANTS",9/14/2010 14:40,1/1/1970 0:00
"10.551","Supplemental Nutrition Assistance Program","Department of Agriculture / Food and Nutrition Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",12/16/2010 7:45,1/1/1965 0:00
"10.553","School Breakfast Program","Department of Agriculture / Food and Nutrition Service","A - Formula Grants (Apportionments)",8/13/2010 7:46,1/1/1967 0:00
"10.555","National School Lunch Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",8/13/2010 7:46,1/1/1965 0:00
"10.556","Special Milk Program for Children","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",8/13/2010 7:46,1/1/1965 0:00
"10.557","Special Supplemental Nutrition Program for Women, Infants, and Children","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",12/17/2010 11:27,1/1/1974 0:00
"10.558","Child and Adult Care Food Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",8/19/2010 7:36,1/1/1976 0:00
"10.559","Summer Food Service Program for Children","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",12/16/2010 7:46,1/1/1976 0:00
"10.560","State Administrative Expenses for Child Nutrition","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",8/19/2010 7:37,1/1/1977 0:00
"10.561","State Administrative Matching Grants for the Supplemental Nutrition Assistance Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS",8/26/2010 7:53,1/1/1977 0:00
"10.565","Commodity Supplemental Food Program","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/18/2010 7:46,1/1/1979 0:00
"10.566","Nutrition Assistance For Puerto Rico","Department of Agriculture / Food and Nutrition Service","C - DIRECT PAYMENTS FOR A SPECIFIED USE",8/26/2010 7:55,1/1/1983 0:00
"10.567","Food Distribution Program on Indian Reservations","Department of Agriculture / Food and Nutrition Service","B - PROJECT GRANTS, H - SALE, EXCHANGE, OR DONATION OF PROPERTY OR GOODS",8/9/2010 8:12,1/1/1983 0:00
"10.568","Emergency Food Assistance Program (Administrative Costs)","Department of Agriculture / Food and Nutrition Service","A - FORMULA GRANTS, B - Project Grants",12/17/2010 11:27,1/1/1984 0:00
