#,Program Title,Agency/Office,Types of Assistance,Date Modified,Date Published
10.054,Emergency Conservation Program,Department of Agriculture / Farm Service Agency,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/30/2010 9:44,1/1/1970 0:00
10.055,Direct and Counter-cyclical Payments Program,Department of Agriculture / Farm Service Agency,C - DIRECT PAYMENTS FOR A SPECIFIED USE,8/30/2010 9:45,1/1/1970 0:00
10.056,Farm Storage Facility Loans,Department of Agriculture / Farm Service Agency,E - DIRECT LOANS,8/30/2010 9:45,1/1/1970 0:00
10.089,Livestock Forage Disaster Program,Department of Agriculture / Farm Service Agency,C - Direct Payments for Specified Use,11/26/2010 10:41,11/26/2010 10:41
10.090,Supplemental Revenue Assistance Program,Department of Agriculture / Farm Service Agency,C - Direct Payments for Specified Use,5/17/2010 13:08,5/17/2010 13:08
10.091,"Emergency Assistance for Livestock, Honeybees, and Farm-Raised Fish Program",Department of Agriculture / Farm Service Agency,C - Direct Payments for Specified Use,1/3/2011 7:34,1/3/2011 7:34
10.092,Tree Assistance Program,Department of Agriculture / Farm Service Agency,D - Direct Payments with Unrestricted Use,8/16/2010 9:10,8/16/2010 9:10
10.104,Poultry Loss Contract Grant Assistance Program,Department of Agriculture / Farm Service Agency,A - Formula Grants,1/25/2011 7:27,1/25/2011 7:27
10.304,Homeland Security_Agricultural,Department of Agriculture / National Institute of Food and Agriculture,B - Cooperative Agreements,8/18/2010 13:17,1/1/2004 0:00
10.404,Emergency Loans,Department of Agriculture / Farm Service Agency,E - DIRECT LOANS,9/1/2010 9:28,1/1/1965 0:00
10.444,Direct Housing_Natural Disaster Loans and Grants,Department of Agriculture / Rural Development,"B - PROJECT GRANTS, E - DIRECT LOANS",8/23/2010 9:03,1/1/1998 0:00
10.445,Direct Housing_Natural Disaster,Department of Agriculture / Rural Development,E - DIRECT LOANS,8/23/2010 9:03,1/1/1998 0:00
10.451,Noninsured Assistance,Department of Agriculture / Farm Service Agency,D - DIRECT PAYMENTS WITH UNRESTRICTED USE,8/30/2010 9:57,1/1/1997 0:00
10.760,Water and Waste Disposal Systems for Rural Communities,Department of Agriculture / Rural Development,"B - PROJECT GRANTS, E - DIRECT LOANS, F - GUARANTEED/INSURED LOANS",9/8/2010 12:24,1/1/1993 0:00
10.901,Resource Conservation and Development,Department of Agriculture / Natural Resources Conservation Service,K - ADVISORY SERVICES AND COUNSELING,11/28/2010 12:58,1/1/1970 0:00
10.902,Soil and Water Conservation,Department of Agriculture / Natural Resources Conservation Service,K - ADVISORY SERVICES AND COUNSELING,8/27/2010 7:46,1/1/1970 0:00
10.904,Watershed Protection and Flood Prevention,Department of Agriculture / Natural Resources Conservation Service,K - ADVISORY SERVICES AND COUNSELING,8/30/2010 12:45,1/1/1970 0:00
10.923,Emergency Watershed Protection Program,Department of Agriculture / Natural Resources Conservation Service,B - PROJECT GRANTS,9/9/2010 8:38,1/1/2007 0:00
11.300,Investments for Public Works and Economic Development Facilities,Department of Commerce / Economic Development Administration,B - Project Grants,10/22/2009 12:01,1/1/1965 0:00
11.477,Fisheries Disaster Relief,Department of Commerce / National Oceanic and Atmospheric Administration (NOAA),B - PROJECT GRANTS,10/31/2008 0:00,1/1/1999 0:00
12.101,Beach Erosion Control Projects,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1967 0:00
12.102,Emergency Rehabilitation of Flood Control Works or Federally Authorized Coastal Protection Works,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1984 0:00
12.103,Emergency Operations Flood Response and Post Flood Response,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1965 0:00
12.104,Flood Plain Management Services,"Department of Defense / Department of the Army, Office of the Chief of Engineers","K - ADVISORY SERVICES AND COUNSELING, L - DISSEMINATION OF TECHNICAL INFORMATION",9/19/2008 0:00,1/1/1965 0:00
12.105,"Protection of Essential Highways, Highway Bridge Approaches, and Public Works","Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1970 0:00
12.106,Flood Control Projects,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1970 0:00
12.108,Snagging and Clearing for Flood Control,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1970 0:00
12.111,Emergency Advance Measures for Flood Prevention,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/1983 0:00
12.112,Payments to States in Lieu of Real Estate Taxes,"Department of Defense / Department of the Army, Office of the Chief of Engineers",A - FORMULA GRANTS,9/19/2008 0:00,1/1/1986 0:00
12.116,Department of Defense Appropriation Act of 2003,"Department of Defense / Department of the Army, Office of the Chief of Engineers",J - PROVISION OF SPECIALIZED SERVICES,9/19/2008 0:00,1/1/2003 0:00
12.117,"ARRA Cooperative Agreements, New Mexico","Department of Defense / Department of the Army, Office of the Chief of Engineers",B - Project Grants (Cooperative Agreements),1/29/2010 7:59,1/29/2010 7:59
12.351,Basic  Scientific Research - Combating Weapons of Mass Destruction,Department of Defense / Office of the Secretary of Defense,B - PROJECT GRANTS,9/19/2008 0:00,1/1/2007 0:00
