Date,Ticker,Name,Tier,Currency,Docclause,Tenor,Composite Price (Basis Points)
14-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
15-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
16-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
17-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
18-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
21-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
22-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
23-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
24-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
25-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
28-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
29-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
30-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
31-May-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
1-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
4-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
5-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
6-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
7-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
8-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
11-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
12-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
13-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
14-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
15-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
18-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
19-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,8
20-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
21-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
22-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
25-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
26-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
27-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
28-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
29-Jun-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
2-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
3-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
4-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
5-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
6-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
9-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,9
10-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,10
11-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,12
12-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
13-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
16-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
17-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,11
18-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,13
19-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,12
20-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,18
23-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,18
24-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
25-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,21
26-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,23
27-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
30-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
31-Jul-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
1-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,34
2-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,34
3-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,36
6-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,36
7-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,35
8-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
9-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,33
10-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,33
13-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,31
14-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
15-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
16-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,33
17-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,32
20-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
21-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
22-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
23-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
24-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
27-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
28-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
29-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
30-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
31-Aug-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
3-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
4-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
5-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
6-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
7-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,30
10-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,29
11-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,28
12-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,28
13-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,27
14-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,26
17-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,24
18-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,22
19-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,20
20-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,20
21-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
24-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
25-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,18
26-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
27-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
28-Sep-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
1-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
2-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
3-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
4-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
5-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
8-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
9-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,17
10-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,17
11-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,17
12-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,17
15-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,18
16-Oct-07,FNMA,Fed Natl Mtg Assn,SNRFOR,USD,MR,5Y,19
