"Source: JCT. ""JCS-1-01: Estimates Of Federal Tax Expenditures For Fiscal Years 2001-2005."""
"The Joint Committee on Taxation (JCT) does not provide numerical data for values that are between -$50 million and $50 million. Rather it provides a footnote indicating that the values are either ""greater than -$50 million"" or ""less than $50 million."" The estimates in the individual and corporation columns from the JCT may contain values between -$50 million and $50 million (denoted as >-50 or <50). When aggregated, in the totals column, the sums of these values are unknown and thus are rounded to zero. For more information, see Subsidyscope's methodology."
""
Budget_function,Title as it Appears in Source,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,Notes
Energy,Tax credits for alcohol fuels,0.00,0.00,0.00,0.00,0.00,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,"In addition, the exemption from excise tax for alcohol fuels results in a reduction in excise tax receipts, net of income tax effect, of $0.6 billion per year in fiscal years 2001 through 2005."
Energy,Tax credit for production of non-conventional fuels,300.00,300.00,200.00,100.00,100.00,1200.00,1300.00,800.00,500.00,500.00,1500.00,1600.00,1000.00,600.00,600.00,
Energy,"Tax credit for electricity production from wind, biomass, and poultry waste",100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Tax credit for investments in solar and geothermal energy facilities,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Tax credit for enhanced oil recovery costs,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,200.00,200.00,200.00,200.00,200.00,
Energy,Excess of percentage over cost depletion: Oil and gas,<50,<50,<50,<50,<50,300.00,300.00,300.00,300.00,400.00,300.00,300.00,300.00,300.00,400.00,
Energy,Excess of percentage over cost depletion: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Energy,Exclusion of interest on State and local government industrial development bonds for energy production facilities,100.00,100.00,100.00,100.00,100.00,<50,<50,<50,<50,<50,100.00,100.00,100.00,100.00,100.00,
Energy,Exclusion of energy conservation subsidies provided by public utilities,<50,<50,<50,<50,<50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Energy,Expensing of exploration and development costs: Oil and gas,<50,<50,<50,<50,<50,600.00,600.00,600.00,400.00,300.00,600.00,600.00,600.00,400.00,300.00,
Energy,Expensing of exploration and development costs: Other fuels,<50,<50,<50,<50,<50,<50,<50,<50,<50,<50,0,0,0,0,0,
Commerce and housing,Depreciation of buildings other than rental housing in excess of alternative depreciation system,500.00,500.00,400.00,400.00,300.00,1200.00,1200.00,1100.00,900.00,800.00,1700.00,1700.00,1500.00,1300.00,1100.00,
Commerce and housing,Depreciation of equipment in excess of alternative depreciation system,7500.00,8200.00,8400.00,8100.00,7700.00,27700.00,30300.00,31100.00,30500.00,29800.00,35200.00,38500.00,39500.00,38600.00,37500.00,
Commerce and housing,Depreciation of rental housing in excess of alternative depreciation system,2500.00,2600.00,2800.00,3000.00,3300.00,300.00,300.00,300.00,300.00,300.00,2800.00,2900.00,3100.00,3300.00,3600.00,
Commerce and housing,Amortization of business startup costs,400.00,400.00,400.00,400.00,400.00,<50,<50,<50,<50,<50,400.00,400.00,400.00,400.00,400.00,
Commerce and housing,Exclusion of capital gains on sales of principal residences,13300.00,13400.00,13500.00,13600.00,13800.00,0.00,0.00,0.00,0.00,0.00,13300.00,13400.00,13500.00,13600.00,13800.00,
