"Source: OMB. ""Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2002."""
""
Budget_function,Title as it Appears in Source,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2000 Total,2001 Total,2002 Total,2003 Total,2004 Total,2005 Total,2006 Total,Notes
Energy,Alcohol fuel credits,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,"In addition, the partial exemption from the excise tax for alcohol fuels results in a reduction in excise tax receipts (in millions of dollars) as follows: 2000 $840; 2001 $880; 2002 $930; 2003 $950; 2004 $960; 2005 $960; and in 2006 $960."
Energy,Alternative fuel production credit,40.00,40.00,40.00,20.00,10.00,10.00,10.00,930.00,880.00,820.00,520.00,120.00,120.00,120.00,970.00,920.00,860.00,540.00,130.00,130.00,130.00,
Energy,Capital gains treatment of royalties on coal,70.00,70.00,80.00,80.00,80.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,70.00,80.00,80.00,80.00,90.00,90.00,
Energy,New technology credit,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,60.00,70.00,90.00,90.00,90.00,90.00,40.00,60.00,70.00,90.00,90.00,90.00,90.00,
Energy,Enhanced oil recovery credit,30.00,30.00,40.00,50.00,50.00,70.00,80.00,280.00,340.00,400.00,480.00,580.00,700.00,830.00,310.00,370.00,440.00,530.00,630.00,770.00,910.00,
Energy,Exception from passive loss limitation for working interests in oil and gas properties,20.00,20.00,20.00,20.00,20.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,
Energy,"Excess of percentage over cost depletion, fuels",50.00,50.00,50.00,50.00,50.00,50.00,50.00,290.00,290.00,290.00,290.00,290.00,300.00,300.00,340.00,340.00,340.00,340.00,340.00,350.00,350.00,
Energy,Exclusion of interest on energy facility bonds,70.00,70.00,70.00,80.00,80.00,90.00,100.00,20.00,20.00,20.00,20.00,30.00,40.00,40.00,90.00,90.00,90.00,100.00,110.00,130.00,140.00,
Energy,Exclusion from income of conservation subsidies provided by public utilities,90.00,80.00,80.00,80.00,90.00,90.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,80.00,80.00,80.00,90.00,90.00,90.00,
Energy,"Expensing of exploration and development costs, fuels",0.00,10.00,10.00,20.00,20.00,20.00,20.00,20.00,60.00,60.00,80.00,90.00,90.00,80.00,20.00,70.00,70.00,100.00,110.00,110.00,100.00,
Energy,Tax credit and deduction for clean-fuel burning vehicles,10.00,10.00,10.00,10.00,0.00,0.00,-10.00,50.00,50.00,40.00,20.00,0.00,-30.00,-40.00,60.00,60.00,50.00,30.00,0.00,-30.00,-50.00,
Commerce and housing,Accelerated depreciation of buildings other than rental housing (normal tax method),1610.00,1640.00,1750.00,1520.00,1650.00,1600.00,1990.00,1650.00,1530.00,1540.00,1360.00,1210.00,1130.00,1230.00,3260.00,3170.00,3290.00,2880.00,2860.00,2730.00,3220.00,
Commerce and housing,Accelerated depreciation of machinery and equipment (normal tax method),2640.00,2820.00,3000.00,3150.00,3290.00,3420.00,3560.00,28020.00,30230.00,32400.00,34530.00,36470.00,38110.00,39770.00,30660.00,33050.00,35400.00,37680.00,39760.00,41530.00,43330.00,
Commerce and housing,Accelerated depreciation on rental housing (normal tax method),4400.00,4770.00,5120.00,5410.00,5610.00,5700.00,5760.00,340.00,370.00,400.00,420.00,430.00,440.00,450.00,4740.00,5140.00,5520.00,5830.00,6040.00,6140.00,6210.00,
Commerce and housing,Amortization of start-up costs (normal tax method),80.00,80.00,80.00,80.00,90.00,90.00,90.00,120.00,120.00,120.00,130.00,130.00,130.00,130.00,200.00,200.00,200.00,210.00,220.00,220.00,220.00,
Commerce and housing,Cancellation of indebtedness,30.00,20.00,10.00,10.00,10.00,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,20.00,10.00,10.00,10.00,20.00,20.00,
Commerce and housing,Capital gains exclusion of small corporation stock,40.00,70.00,90.00,120.00,160.00,200.00,250.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,70.00,90.00,120.00,160.00,200.00,250.00,
Commerce and housing,Capital gains exclusion on home sales,18540.00,19095.00,19670.00,20260.00,20870.00,21490.00,22140.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18540.00,19095.00,19670.00,20260.00,20870.00,21490.00,22140.00,
Commerce and housing,Carryover basis of capital gains on gifts,180.00,190.00,200.00,210.00,220.00,230.00,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,180.00,190.00,200.00,210.00,220.00,230.00,240.00,
Commerce and housing,Credit for low-income housing investments,800.00,820.00,860.00,890.00,940.00,980.00,1010.00,2410.00,2490.00,2600.00,2710.00,2850.00,2960.00,3070.00,3210.00,3310.00,3460.00,3600.00,3790.00,3940.00,4080.00,
Commerce and housing,Deductibility of mortgage interest on owner-occupied homes,60270.00,63190.00,65750.00,68050.00,70470.00,73100.00,76150.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60270.00,63190.00,65750.00,68050.00,70470.00,73100.00,76150.00,
Commerce and housing,Deductibility of State and local property tax on owner-occupied homes,22140.00,23920.00,25570.00,27220.00,29080.00,30980.00,33220.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22140.00,23920.00,25570.00,27220.00,29080.00,30980.00,33220.00,
Commerce and housing,Deferral of income from post-1987 installment sales,750.00,765.00,780.00,790.00,810.00,820.00,840.00,260.00,270.00,270.00,280.00,280.00,290.00,290.00,1010.00,1035.00,1050.00,1070.00,1090.00,1110.00,1130.00,
Commerce and housing,"Exception from passive loss rules for $25,000 of rental loss",4720.00,4450.00,4220.00,4000.00,3790.00,3600.00,3410.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4720.00,4450.00,4220.00,4000.00,3790.00,3600.00,3410.00,
Commerce and housing,Exceptions from imputed interest rules,80.00,80.00,80.00,80.00,80.00,80.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,
Commerce and housing,Excess bad debt reserves of financial institutions,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,60.00,50.00,30.00,20.00,10.00,0.00,70.00,60.00,50.00,30.00,20.00,10.00,0.00,
Commerce and housing,Exclusion of interest on life insurance savings,13460.00,14640.00,15940.00,17360.00,18920.00,20620.00,22510.00,490.00,530.00,580.00,630.00,690.00,750.00,820.00,13950.00,15170.00,16520.00,17990.00,19610.00,21370.00,23330.00,
