"code","npias","name","city","state","ADO","service_level","district","fiscal_year","description","grant_number","airport_id","total","entitlement_total","discretionary_total","stimulus_total"
"ADK","02-0001","Adak","Adak Island","AK","AAL","GA",1,2005,"Acquire Aircraft Rescue & Fire Fighting Vehicle","3-02-0001-002-2005","ADK",770569.00,0.00,770569.00,0.00
"AKK","02-0002","Akhiok","Akhiok","AK","AAL","",,,"","","",,,,
"Z13","02-0345","Akiachak","Akiachak","AK","AAL","",,,"","","",,,,
"+076","02-0461","Akiachak (Proposed GA)","Akiachak","AK","AAL","",,,"","","",,,,
"AKI","02-0004","Akiak","Akiak","AK","AAL","",,,"","","",,,,
"KQA","02-0346","Akutan","Akutan","AK","AAL","GA",1,2006,"Conduct Airport Master Plan Study [(Phase 5, Complete EA)]","3-02-0346-006-2006","KQA",129355.00,129355.00,0.00,0.00
"KQA","02-0346","Akutan","Akutan","AK","AAL","GA",1,2007,"Conduct Airport Master Plan Study","3-02-0346-007-2007","KQA",291393.00,291393.00,0.00,0.00
"+01D","02-0005","Akutan (Proposed GA)","Akutan","AK","AAL","",1,2007,"Construct New Airport [(Environmental Studies) Phase 1]","3-02-0005-001-2007","+01D",1000000.00,0.00,1000000.00,0.00
"AUK","02-0332","Alakanuk","Alakanuk","AK","AAL","",,,"","","",,,,
"+01F","02-0440","Alakanuk (Proposed CM)","Alakanuk","AK","AAL","",1,2007,"Construct New Airport [Phase 2 (Access Road & SREB)]","3-02-0440-002-2007","+01F",6574722.00,494866.00,6079856.00,0.00
"+01F","02-0440","Alakanuk (Proposed CM)","Alakanuk","AK","AAL","",1,2009,"Construct New Airport [Phase 3 (Subbase)]","3-02-0440-003-2009","+01F",9948334.00,2214959.00,7733375.00,0.00
"5A8","02-0359","Aleknagik /New/","Aleknagik","AK","AAL","",,,"","","",,,,
"6A8","02-0009","Allakaket","Allakaket","AK","AAL","CS",1,2009,"Rehabilitate Runway [ARRA funded] - 05/23","3-02-0009-005-2009","6A8",10000000.00,0.00,0.00,10000000.00
"6A8","02-0009","Allakaket","Allakaket","AK","AAL","CS",1,2009,"Expand Apron [expand apron]","3-02-0009-006-2009","6A8",700000.00,700000.00,0.00,0.00
"AFM","02-0354","Ambler","Ambler","AK","AAL","",,,"","","",,,,
