Indent,Category,Source,Report,2000 (Corp),2001 (Corp),2002 (Corp),2003 (Corp),2004 (Corp),2005 (Corp),2006 (Corp),2007 (Corp),2008 (Corp),2009 (Corp),2010 (Corp),2011 (Corp),2012 (Corp),2013 (Corp),2014 (Corp),2015 (Corp),2016 (Corp),2000 (Indv),2001 (Indv),2002 (Indv),2003 (Indv),2004 (Indv),2005 (Indv),2006 (Indv),2007 (Indv),2008 (Indv),2009 (Indv),2010 (Indv),2011 (Indv),2012 (Indv),2013 (Indv),2014 (Indv),2015 (Indv),2016 (Indv),Expenditure Name,Expenditure Footnotes
,"Education, training, employment, and social services"
#,Education
##,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Scholarship and fellowship income.&mdash; Scholarships and fellowships are excluded from taxable income to the extent they pay for tuition and course-related expenses of the grantee. Similarly, tuition reductions for employees of educational institutions and their families are not included in taxable income. From an economic point of view, scholarships and fellowships are either gifts not conditioned on the performance of services, or they are rebates of educational costs. Thus, under the baseline tax system of the reference law method, this exclusion is not a tax expenditure because this method does not include either gifts or price reductions in a taxpayer's gross income. The exclusion, however, is considered a tax expenditure under the normal tax method, which includes gift-like transfers of Government funds in gross income (many scholarships are derived directly or indirectly from Government funding). </p>"
##+,69,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,995.00,1040.00,1085.00,1135.00,1185.00,,,,,,,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,70,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,1110.00,1120.00,1130.00,1140.00,1150.00,1165.00,,,,,,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,72,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1110.00,1120.00,1130.00,1140.00,1150.00,1160.00,1180.00,,,,,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,70,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1210.00,1200.00,1210.00,1240.00,1330.00,1380.00,1390.00,,,,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,70,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1270.00,1260.00,1260.00,1340.00,1400.00,1410.00,1420.00,,,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,70,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1260.00,1260.00,1340.00,1400.00,1410.00,1420.00,1420.00,,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,78,Treasury,2006,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1320.00,1400.00,1460.00,1530.00,1600.00,1680.00,1750.00,,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,94,Treasury,2007,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1380.00,1450.00,1510.00,1580.00,1640.00,1720.00,1790.00,,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,91,Treasury,2008,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1780.00,1870.00,1960.00,2050.00,2150.00,2250.00,2360.00,,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,91,Treasury,2009,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,1870.00,1960.00,2050.00,2150.00,2250.00,2360.00,2470.00,,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,94,Treasury,2010,,,,,,,,,,,,,,,,,,,,,,,,,,2000.00,2080.00,2160.00,2250.00,2340.00,2440.00,2540.00,,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,96,Treasury,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.00,2160.00,2250.00,2340.00,2440.00,2540.00,2650.00,,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##+,97,Treasury,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,2760.00,3010.00,3130.00,3240.00,3360.00,3480.00,3610.00,Exclusion of scholarship and fellowship income (normal tax method),,,,,,,,,,,,,,,,,
##,HOPE tax credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>HOPE tax credit.&mdash;The baseline tax system would not allow credits for particular activities, investments, or industries. Under current law, however, the non-refundable HOPE tax credit allows a credit for 100 percent of an eligible student's first $1,200 of tuition and fees and 50 percent of the next $1,200 of tuition and fees. The credit only covers tuition and fees paid during the first two years of a student's post-secondary education. In 2009, the credit is phased out ratably for taxpayers with modified AGI between $100,000 and $120,000 ($50,000 and $60,000 for singles), indexed. </p>"
##+,70,Treasury,2000,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,4855.00,5325.00,5730.00,5765.00,5950.00,,,,,,,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,71,Treasury,2001,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,4925.00,5125.00,5145.00,4745.00,4615.00,5335.00,,,,,,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,73,Treasury,2002,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4210.00,4480.00,4610.00,4280.00,4110.00,4360.00,4630.00,,,,,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,71,Treasury,2003,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4130.00,4110.00,3520.00,2880.00,2930.00,2730.00,2900.00,,,,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,71,Treasury,2004,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,4110.00,3520.00,2880.00,2930.00,2730.00,2900.00,2790.00,,,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
##+,71,Treasury,2005,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,3290.00,3420.00,3510.00,3290.00,3330.00,3320.00,3310.00,,,,,,,,HOPE tax credit,,,,,,,,,,,,,,,,,
