"Indent","Category","Source","report","2000 Corp","2001 Corp","2002 Corp","2003 Corp","2004 Corp","2005 Corp","2006 Corp","2007 Corp","2008 Corp","2009 Corp","2010 Corp","2011 Corp","2012 Corp","2013 Corp","2014 Corp","2015 Corp","2016 Corp","2000 Indv","2001 Indv","2002 Indv","2003 Indv","2004 Indv","2005 Indv","2006 Indv","2007 Indv","2008 Indv","2009 Indv","2010 Indv","2011 Indv","2012 Indv","2013 Indv","2014 Indv","2015 Indv","2016 Indv","Description/Expenditure Name","Notes"
,"General science, space, and technology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#","Credit for increasing research activities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>The baseline tax system would uniformly tax all returns to investments and not allow credits for particular activities, investments, or industries. In contrast, the Tax Code allows an R&E credit of 20 percent of qualified research expenditures in excess of a base amount.The base amount is generally determined by multiplying a ""fixed-base percentage"" by the average amount of the company's gross receipts for the prior four years. The taxpayer's fixed base percentage generally is the ratio of its research expenses to gross receipts for 1984 through 1988. Taxpayers can elect the alternative simplified credit regime, which is equal to 14 percent (12 percent prior to 2009) of qualified research expenses that exceed 50 percent of the average qualified research expenses for the three preceding taxable years. Prior to January 1, 2009, taxpayers could also elect an alternative incremental credit regime. Under the alternative incremental credit regime the taxpayer was assigned a three-tiered fixed base percentage that is lower than the fixed-base percentage that would otherwise apply, and the credit rate was reduced. The rates for the alternative incremental credit ranged from 3 percent to 5 percent. Under current law as of September 30, the research credit expired on December 31, 2009. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
"#+",,"JCT",2001,900,500,300,100,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2002,0,3000,6800,3700,3800,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2003,,3300,3400,3600,3000,1800,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2004,,,5000,5400,4700,2800,1500,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2005,,,,5100,4500,2700,1400,700,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2006,,,,,3900,2400,1200,700,300,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2007,,,,,,4800,3000,1500,1000,400,,,,,,,,,,,,,100,100,"<50","<50","<50",,,,,,,,"Tax credit for qualified research expenditures",
"#+",,"JCT",2009,,,,,,,,5000,3200,1900,1500,1000,,,,,,,,,,,,,100,100,"<50","<50","<50",,,,,,"Tax credit for increasing research activities",
"#+",,"JCT",2010,,,,,,,,,4900,5600,3600,2800,2200,,,,,,,,,,,,,100,100,"<50","<50","<50",,,,,"Credit for increasing research activities",
"#+",,"JCT",2011,,,,,,,,,,4800,3100,2500,1900,1500,,,,,,,,,,,,,100,100,100,"<50","<50",,,,"Credit for increasing research activities (Code section 41) ","Estimate includes refundability associated with the outlay effects found on page 46 of the JCT FY2011 <a href=""http://www.jct.gov/publications.html?func=startdown&id=3642""><em>Estimates of Federal Tax Expenditures</em>.</a> "
"#+",,"JCT",2012,,,,,,,,,,,4000,3000,2300,1800,900,,,,,,,,,,,,,100,100,"<50","<50","<50",,,"Credit for increasing research activities (section 41)",
"#+",9,"Treasury",2001,995,3300,3650,2925,2565,1490,,,,,,,,,,,,15,60,60,45,40,15,,,,,,,,,,,,"Credit for increasing research activities",
"#+",10,"Treasury",2002,1620,5990,6700,5340,4670,2700,1160,,,,,,,,,,,10,60,60,50,40,20,0,,,,,,,,,,,"Credit for increasing research activities",
"#+",9,"Treasury",2003,,5310,5950,4540,3980,2310,990,410,,,,,,,,,,,60,60,50,40,20,0,0,,,,,,,,,,"Credit for increasing research activities",
"#+",9,"Treasury",2004,,,6810,5590,4950,2890,1240,520,170,,,,,,,,,,,60,50,40,20,0,0,0,,,,,,,,,"Credit for increasing research activities",
"#+",9,"Treasury",2005,,,,4910,4360,2530,1090,460,150,60,,,,,,,,,,,50,40,20,0,0,0,0,,,,,,,,"Credit for increasing research activities",
"#+",9,"Treasury",2006,,,,,4630,5080,2100,910,390,180,50,,,,,,,,,,,50,50,40,0,0,0,0,,,,,,,"Credit for increasing research activities",
"#+",9,"Treasury",2007,,,,,,5110,2120,920,390,180,50,0,,,,,,,,,,,50,40,0,0,0,0,0,,,,,,"Credit for increasing research activities",
"#+",9,"Treasury",2008,,,,,,,2120,10260,4910,2100,920,360,70,,,,,,,,,,,60,60,50,0,0,0,0,,,,,"Credit for increasing research activities",
"#+",8,"Treasury",2009,,,,,,,,10260,4610,2100,920,360,70,0,,,,,,,,,,,60,50,0,0,0,0,0,,,,"Credit for increasing research activities",
"#+",8,"Treasury",2010,,,,,,,,,7080,7620,5760,3850,3080,2460,1960,,,,,,,,,,,360,390,120,0,0,0,0,,,"Credit for increasing research activities",
"#+",8,"Treasury",2011,,,,,,,,,,7620,5770,3850,3080,2460,1964,1568,,,,,,,,,,,390,120,0,0,0,0,0,,"Credit for increasing research activities",
"#+",8,"Treasury",2012,,,,,,,,,,,5770,3850,3080,2460,1960,1570,1250,,,,,,,,,,,120,0,0,0,0,0,0,"Credit for increasing research activities",
"#","Expensing of research and experimentation expenditures (normal tax method)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Research and experimentation (R&E) projects can be viewed as investments because, if successful, their benefits accrue for several years. It is often difficult, however, to identify whether a specific R&E project is successful and, if successful, what its expected life will be. Because of this ambiguity, the reference law baseline tax system would allow of expensing of R&E expenditures. In contrast, under the normal tax method, the expensing of R&E expenditures is viewed as a tax expenditure. The baseline assumed for the normal tax method is that all R&E expenditures are successful and have an expected life of five years. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
"#+",,"JCT",2001,2400,2700,2800,3000,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2002,2900,2800,2900,3100,3200,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2003,,2900,2600,2500,2500,2500,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2004,,,4500,4700,4700,4800,5000,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2005,,,,3800,4700,5400,5900,6200,,,,,,,,,,,,,"<50","<50","<50","<50","<50",,,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2006,,,,,3500,4900,6000,6500,6900,,,,,,,,,,,,,100,100,100,100,100,,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2007,,,,,,4000,5500,6300,6400,6300,,,,,,,,,,,,,100,100,100,100,100,,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2008,,,,,,,2000,3700,5500,6000,5800,,,,,,,,,,,,,"<50",100,100,100,100,,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2009,,,,,,,,1300,2200,4600,5800,6200,,,,,,,,,,,,,"<50","<50",100,100,100,,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2010,,,,,,,,,3100,4800,5600,6700,7800,,,,,,,,,,,,,100,100,100,100,200,,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2011,,,,,,,,,,3000,4000,4800,5800,6400,,,,,,,,,,,,,100,100,100,100,100,,,,"Expensing of research and experimental expenditures",
"#+",,"JCT",2012,,,,,,,,,,,4300,4200,4400,5800,6900,,,,,,,,,,,,,100,100,100,100,100,,,"Expensing of research and experimental expenditures",
"#+",8,"Treasury",2001,1830,1850,1925,2050,2200,2365,,,,,,,,,,,,35,35,40,40,45,45,,,,,,,,,,,,"Expensing of research and experimentation expenditures (normal tax method)",
