/AA|Anchorage, AK: (Anchorage Mean)
/AB|Albuquerque, NM: (Albuquerque Mean)
/AD|Abu Dhabi, United Arab Emirates: (Abu Dhabi Mean)
/AG|Augusta/Waterville, ME: /Ag Augusta/Waterville
/AI|Abilene, TX: (Abilene Mean)
/AJ|Amman, Jordan: (Amman Mean)
/AK|Auckland, New Zealand: Auckland N.Z./Metro Up 1
/AL|Atlanta, GA: Atlanta Ga.
/AM|Alamogordo, NM: (Alamogordo Mean)
/AN|Ankara, Turkey: /An Ankara Metro-Up 1
/AO|Ardmore, OK: (Ardmore Mean)
/AP|Apia, Western Samoa: (Apia Mean)
/AR|Akron/Canton, OH: Akron/Canton Ohio
/AS|Austin, TX: (Austin Mean)
/AT|Altus, OK: (Altus Mean)
/AU|Wausau/Stevens Point, WI: Stevens Point Municipal
/AX|Alexandria, LA: (Alexandria, La Mean)
/AY|Atlantic City, NJ: /Ay Navy Air Field ec
/BA|Bakersfield, CA: (Bakersfield Mean)
/BB|Belo Horizonte, Brazil: (Belo Horizonte Mean)
/BC|Beijing, China: Metropolitan Area
/BD|Baghdad, Iraq: (Baghdad Mean)
/BE|Berlin, Germany: (Berlin Mean)
/BF|Buffalo/Niagara Falls, NY: Buffalo Niagara Falls
/BG|Big Spring, TX: Big Spring Airport
/BH|Bucharest, Romania: /Bh Bucharest
/BI|Bimini, Bahamas: Bimini Airport
/BJ|Bemidji, MN: (Bemidji Mean)
/BK|Brunswick, GA: Brunswick Airport
/BL|Belfast, United Kingdom: Belfast Airport
/BO|Boston, MA: (Boston Mean)
/BR|Burbank, CA: Hollywood Burbank
/BS|San Bernardino, CA: (San Bernardino Mean)
/BU|Buenos Aires, Argentina: /Bu Buenos Aires
/BY|Blytheville, AR: (Blytheville Mean)
/BZ|Belize City, Belize: Belize City
/CA|Casablanca, Morocco: /Ca Casablanca
/CB|Columbus, MS: (Columbus, Ms Mean)
/CC|Cordova, AK: (Cordova Mean)
/CE|Columbia, SC: (Columbia, Sc Mean)
/CG|Cologne/Dussldorf/Bonn, Germany: /Cg Cologne/Dusseldorf/Bonn
/CH|Chicago, IL: /Ch Chicago
/CI|Cincinnati, OH: Greater Cincinnati
/CK|Clinton, OK: Clinton Airport
/CL|Cleveland, OH: (Cleveland Mean)
/CM|Colombo, Sri Lanka: Colombo
/CN|Cannes, France: (Cannes Mean)
/CO|Columbus, GA: (Columbus, Ga Mean)
/CR|Charlotte Amalie, VI: Charlotte Amalie Airport
/CS|Corpus Christi, TX: (Corpus Christi Mean)
/CT|Catalina Island, CA: Catalina Island
/CU|Columbus, OH: Columbus Airport
/CV|Clovis, NM: (Clovis Mean)
/CY|Cheyenne, WY: (Cheyenne Mean)
/DA|Dallas/Ft.Worth, TX: (Dallas/Ft.Worth Mean)
/DE|Denver, CO: (Denver Mean)
/DH|Duluth, MN: (Duluth Mean)
/DO|Dominica, Dominica: Dominica
/DT|Detroit, MI: (Detroit Mean)
/DU|Durango, CO: Durango Airport
/DY|Dayton, OH: (Dayton Mean)
/EL|El Paso, TX: (El Paso Mean)
/EM|Selma, AL: (Selma Mean)
/EN|Enid, OK: (Enid Mean)
/ES|Eastsound, WA: Eastsound Airport
/EU|Eureka/Arcata, CA: Eureka/Arcata
/FA|Fairbanks, AK: (Fairbanks Mean)
/FF|Fort Lauderdale, FL: (Fort Lauderdale Mean)
/FI|Kinshasa, Republic Of Congo: Kinshasa Airport
/FL|Fallon, NV: (Fallon, Nv Mean)
/FM|Fort Myers, FL: Ft. Myers
/FN|Freetown, Sierra Leone: Freetown Sea Plane Base
