1,ALABAMA,Muscle Shoals,1782928.00,Order 2008-10-17,MSL
1,ARIZONA,Kingman,1275771.00,Order 2008-6-11,IGM
1,ARIZONA,Page,1497556.00,Order 2007-6-10,PGA
1,ARIZONA,Prescott,1622719.00,Order 2008-6-11,PRC
1,ARIZONA,Show Low,988181.00,Order 2007-6-10,SOW
1,ARKANSAS,El Dorado/Camden,2311637.00,Order 2008-7-8,ELD
1,ARKANSAS,Harrison,1587067.00,Order 2008-7-8,HRO
1,ARKANSAS,Hot Springs,1991307.00,Order 2008-7-8,HOT
1,ARKANSAS,Jonesboro,1607385.00,Order 2008-5-2,JBR
1,CALIFORNIA,Crescent City,1136896.00,Order 2008-4-23,CEC
1,CALIFORNIA,El Centro,662551.00,Order 2008-12-26,IPL
1,CALIFORNIA,Merced,1541365.00,Order 2008-6-26,MCE
1,CALIFORNIA,Visalia,1494319.00,Order 2008-6-26,VIS
1,COLORADO,Alamosa,1853475.00,Order 2008-5-24,ALS
1,COLORADO,Cortez,1297562.00,Order 2008-5-24,CEZ
1,COLORADO,Pueblo,1057128.00,Order 2007-11-10,PUB
1,GEORGIA,Athens,1051386.00,Order 2008-5-43,AHN
1,GEORGIA,Macon,1386306.00,Order 2008-5-43,MCN
1,ILLINOIS,Decatur,1350256.00,Order 2007-4-12,DEC
1,ILLINOIS,Marion/Herrin,1126810.00,Order 2007-3-5,MWA
1,ILLINOIS,Quincy,1532891.00,Order 2007-3-10,UIN
1,IOWA,Burlington,943793.00,Order 2007-3-5,BRL
1,IOWA,Fort Dodge,1056932.50,Order 2007-6-3,FOD
1,IOWA,Mason City,1056932.50,Order 2007-6-3,MCW
1,KANSAS,Dodge City,1378035.65,Order 2007-8-5,DDC
1,KANSAS,Garden City,2373320.00,Order 2007-8-5,GCK
1,KANSAS,Great Bend,749435.00,Order 2007-8-5,GBD
1,KANSAS,Hays,1757154.00,Order 2007-8-5,HYS
1,KANSAS,Liberal/Guymon,995284.35,Order 2007-8-5,LBL
1,KANSAS,Manhattan,1198342.20,Order 2008-2-5,MHK
1,KANSAS,Salina,798894.80,Order 2008-2-5,SLN
1,KENTUCKY,Owensboro,1448625.00,Order 2008-2-1,OWB
1,MAINE,Augusta/Waterville,2086250.50,Order 2008-9-7,AUG
1,MAINE,Bar Harbor,2086250.50,Order 2008-9-7,BHB
1,MAINE,Presque Isle,2643588.00,Order 2008-5-23,PQI
1,MAINE,Rockland,1522770.00,Order 2008-7-35,RKD
1,MARYLAND,Hagerstown,1570417.00,Order 2008-12-33,HGR
1,MICHIGAN,Escanaba,1435118.00,Order 2008-8-14,ESC
1,MICHIGAN,Ironwood/Ashland,1492865.00,Order 2008-4-10,IWD
1,MICHIGAN,Iron Mountain/Kingsford,1435118.00,Order 2008-8-14,IMT
1,MICHIGAN,Manistee,1799395.00,Order 2008-4-10,MBL
1,MINNESOTA,Chisholm/Hibbing,1261841.00,Order 2007-8-13,HIB
1,MINNESOTA,Thief River Falls,1065639.00,Order 2007-6-3,TVF
1,MISSISSIPPI,Greenville,1355693.00,Order 2008-8-23,GLH
1,MISSISSIPPI,Laurel/Hattiesburg,1191435.00,Order 2008-4-2,PIB
1,MISSISSIPPI,Meridian,686489.00,Order 2008-5-12,MEI
1,MISSOURI,Cape Girardeau,1497542.00,Order 2008-2-1,CGI
1,MISSOURI,Columbia/Jefferson City,2186590.00,Order 2008-5-2,COU
1,MISSOURI,Fort Leonard Wood,519858.00,Order 2007-3-5,TBN
1,MISSOURI,Joplin,997680.00,Order 2008-7-8,JLN
1,MISSOURI,Kirksville,806169.00,Order 2008-5-2,IRK
1,MONTANA,Glasgow,928432.50,Order 2007-12-22,GGW
1,MONTANA,Glendive,1056152.00,Order 2007-12-22,GDV
1,MONTANA,Havre,1036616.00,Order 2007-12-22,HVR
1,MONTANA,Lewistown,1036616.00,Order 2007-12-22,LWT
1,MONTANA,Miles City,1056152.00,Order 2007-12-22,MLS
1,MONTANA,Sidney,2159591.00,Order 2007-12-22,SDY
1,MONTANA,West Yellowstone,431996.00,Order 2008-1-4,WYS
1,MONTANA,Wolf Point,928432.50,Order 2007-12-22,OLF
1,NEBRASKA,Alliance,748634.50,Order 2007-4-3,AIA
1,NEBRASKA,Chadron,748634.50,Order 2007-4-3,CDR
1,NEBRASKA,Grand Island,2271640.00,Order 2008-7-8,GRI
1,NEBRASKA,Kearney,1978386.00,Order 2008-7-33,EAR
1,NEBRASKA,McCook,1583277.00,Order 2008-5-2,MCK
1,NEBRASKA,North Platte,1860229.00,Order 2008-7-33,LBF
1,NEBRASKA,Scottsbluff,1535085.00,Order 2008-7-33,BFF
