Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205","$11,817,633","$12,305,466","$9,555,708","$9,019,728","$11,201,389","$9,431,195","$22,668,195","$18,008,516","$15,204,047","$39,510,098","$45,323,007","$38,510,322","$39,124,538","$62,261,424","$52,336,000","$70,893,618","$73,445,979"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858","$531,759","$275,601","$240,093","$358,755","$602,922","$802,433","$837,239","$934,358","$854,016","$716,412","$3,874,159","$2,471,727","$1,336,453","$999,246","$1,449,292","$2,470,651","$3,420,557"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205","$2,329,424","$1,313,545","$980,181","$1,509,320","$1,817,457","$1,999,086","$2,590,212","$2,837,832","$3,373,261","$12,366,784","$12,146,010","$13,119,675","$15,202,005","$16,240,420","$19,654,777","$21,601,591","$24,811,770"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205","$695,355","$302,990","$269,512","$350,693","$67,745","$304,598","$349,283","$441,882","$399,709","$479,303","$396,382","$1,266,984","$1,303,876","$1,656,959","$1,496,536","$1,555,492","$1,782,124"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816","$89,787","$223,079","$55,000","$71,910","$67,285","$47,561","$37,916","$42,422","$39,230","$47,907","$52,516","$50,945","$60,940",$0,"$76,588","$85,764","$128,163"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049","$725,168","$439,323","$487,827","$570,254","$731,834","$1,041,991","$1,180,080","$1,468,319","$1,424,121","$1,874,329","$1,844,963","$1,308,838","$1,383,505","$1,073,252","$1,412,288","$1,938,309","$2,167,016"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138","$5,220,958","$5,326,909","$3,693,704","$2,916,990","$7,425,524","$8,823,618","$10,216,854","$15,619,490","$16,737,337","$21,202,884","$19,800,109","$12,054,981","$13,457,706","$14,949,681","$6,380,900","$9,479,424","$31,776,889"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625","$46,467","$64,676","$55,317","$67,868","$79,495","$101,789","$72,052","$106,557","$87,458","$122,122","$184,700","$120,161","$120,526","$45,168","$67,105","$64,388","$198,697"
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744","$295,752","$294,473","$281,011","$342,930","$370,063","$393,672","$345,595","$382,691","$467,442","$422,702","$406,367","$384,199","$365,439","$498,368","$571,152","$682,444","$559,547"
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086","$98,826","$133,434",,,,,,,,,,,,,,,
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443","$2,217","$8,322","$16,744","$18,194",,,"$37,251","$24,237","$17,683","$21,049","$1,613","$10,094","$4,587","$30,349","$10,769","$36,641","$38,152"
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851","$491,284","$339,235","$350,257","$462,952","$572,060","$739,230","$1,020,959","$848,294","$812,803","$2,030,427","$5,623,884","$2,012,808","$2,616,313",,"$443,859","$481,141","$523,030"
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826","$620,432","$924,677","$771,484","$802,224","$771,441","$758,691","$756,813","$764,993","$987,070","$996,681","$950,777","$698,573","$474,183","$662,320","$918,708","$1,171,138","$1,589,054"
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369","$114,972","$241,573","$347,631","$503,253","$449,131",$0,"$523,637","$517,743",$0,"$1,160,721","$830,874","$670,113","$965,672","$791,178","$719,871","$865,829","$1,014,769"
