Last_Report_Year,TRS_ID,System_Name,City,State,UZA_Name,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"1,683,877","1,904,547","2,058,392","2,602,477","3,636,554","5,300,660","8,889,236","7,885,050","8,551,091","8,346,925","8,665,960","9,013,597","9,371,221","9,454,045","9,750,742","10,022,252","8,887,541","10,067,742"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,"48,840","47,914","48,187","48,317","22,282","40,800","42,232","40,318","42,221","42,271","40,126","39,826","42,865","42,879","38,754",,,"56,613"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"24,642,080","25,742,388","25,840,217","26,076,206","27,799,683","29,315,617","30,808,531","31,768,532","33,601,691","32,349,611","33,086,876","34,676,436","35,216,587","42,855,558","30,466,678","30,490,731","31,382,891","31,388,923"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"1,165,399","1,371,406","1,212,192","1,099,802","1,285,752","759,205",,,,,,,,,0,0,"785,845","791,909"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,DO,"3,038,420","3,291,513","3,315,542","3,255,945","3,185,885","3,082,262","3,255,845","3,524,927","3,566,507","3,378,544","3,478,706","3,290,002","3,385,213","3,526,126","3,123,146","2,928,913","2,803,753","2,803,968"
2008,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"4,715,555","6,046,050","7,877,502","8,121,360","7,528,300","7,749,560","8,492,380","8,910,373","9,451,684","9,314,635","9,619,021","9,295,012","8,997,627","8,767,157","9,083,017","9,950,978","10,598,269","11,711,249"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,DO,"1,058,317","1,183,928","1,287,670","1,371,257","1,483,982","1,489,913","1,523,400","1,526,709","1,377,197","1,334,007","1,358,293","1,377,785","1,418,077","1,286,478","1,229,340","1,280,681","1,305,017","1,337,188"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,PT,"347,574","390,554","433,023","582,004","785,235","836,137","1,000,466","952,381","1,072,115","1,019,021","991,435","1,009,156","1,044,411","1,114,827","1,104,025","1,268,932","1,370,968","1,387,765"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,DO,"4,818,123","4,890,104","4,979,171","5,045,803","5,197,171","5,330,929","5,389,263","5,411,212","5,308,483","4,962,786","4,641,901","4,753,745","4,789,262","4,839,102","5,031,171","5,570,692","5,592,842","5,718,006"
2008,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,DO,"116,590","162,305","195,140","257,380","233,767","253,560","277,711","293,292","236,397","225,726","299,738","312,141","352,741","352,415","490,835","609,371","686,661","893,380"
