Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"2,329","2,421","2,381","2,425","2,280","2,248","2,617","2,703","2,720","2,683","2,648","2,648","2,648","1,682","1,575","1,529","1,868"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,540,631,640,637,650,605,,,,,,,,,0,0,119
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,DO,113,113,113,113,113,113,117,117,117,117,119,117,117,117,116,116,116
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,DO,587,587,587,594,594,594,577,577,685,499,492,492,492,492,508,539,539
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,802,791,791,812,"1,022",955,992,989,"1,083","1,002","1,042",991,"1,174","1,236",864,892,970
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,135,135,134,143,,,,,,,,,,,0,0,0
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,153,170,170,170,170,175,175,222,226,230,230,229,229,229,235,227,239
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",MB,DO,100,104,95,95,85,117,117,117,112,112,112,132,137,151,162,166,180
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",MB,DO,539,539,564,542,547,547,547,547,"1,100","1,100","1,100",845,796,825,834,827,849
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",VP,PT,,,,,,,,,,,,,,,0,0,0
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,,,,,,,,,,,,,
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",LR,DO,30,30,30,30,30,30,30,31,65,65,65,81,81,93,94,94,95
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"1,342","1,348","1,300","1,339","1,381","1,386","1,386","1,417","1,454","1,468","1,457","1,457","1,437","1,410","1,382","1,378","1,373"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,PT,44,44,80,96,82,,,,,,,,,,,,
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,PT,,,,,,,,,,,,,0,0,0,0,0
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,DO,204,204,199,199,199,128,130,130,133,143,143,143,143,143,177,179,179
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,PT,,,,,,,,,,,,,132,132,134,135,135
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",MB,DO,383,383,383,383,354,354,358,358,298,275,292,301,305,315,315,313,312
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",VP,PT,,,,,,,,,,,,0,0,0,0,0,0
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,DO,,0,,,,,,,,,,,,,,,
1992,0015,Snohomish County Transportation Authority,Lynnwood,WA,"Seattle, WA",18,588,"1,744,086",MB,PT,0,,,,,,,,,,,,,,,,
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0016,Community Urban Bus Service,Longview,WA,"Longview, WA-OR",378,27,"60,443",MB,DO,68,67,67,67,,,70,71,74,52,65,65,64,64,64,64,62
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,DO,,,,,,,,,,,,0,0,,0,0,0
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",DR,PT,,,,,,,,,,,,0,0,,0,0,0
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,DO,264,264,264,264,264,264,264,264,264,264,264,264,264,,264,254,257
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",MB,PT,,12,12,12,12,12,,,,,,,,,,,
2007,0018,Ben Franklin Transit,Richland,WA,"Kennewick-Richland, WA",188,85,"153,851",VP,DO,,,,,,,,,,,,0,0,,0,0,0
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",DR,PT,,,,,,,,,,,,,,,,,
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,DO,287,309,544,544,544,544,544,544,529,353,222,200,216,212,212,207,207
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",MB,PT,16,,,,,,,,,,,,,,,,
2007,0019,Intercity Transit,Olympia,WA,"Olympia-Lacey, WA",195,92,"143,826",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",DR,PT,,,,,,,,,,,,,,,,,
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",FB,PT,,2,4,32,32,4,4,6,6,6,6,6,6,6,6,6,6
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",MB,DO,"1,136","1,162","1,150","1,184","1,195","1,211","1,219","1,232","1,238",521,530,560,571,575,572,573,580
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",OR,PT,0,,,,,,,,,,,,,,,,
2007,0020,Kitsap Transit,Bremerton,WA,"Bremerton, WA",169,118,"178,369",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",MB,DO,189,189,191,213,292,300,300,300,300,259,259,347,422,422,472,475,475
2007,0021,Whatcom Transportation Authority,Bellingham,WA,"Bellingham, WA",301,35,"84,324",VP,PT,,,,,,,,,,,,,,,,,
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0022,City of Pocatello - Pocatello Regional Transit,Pocatello,ID,"Pocatello, ID",370,30,"62,498",MB,DO,73,73,74,74,74,74,74,74,74,74,74,74,74,74,74,74,78
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MO,PT,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",OR,DO,2,3,,,,,,,,,,,,,,,
2007,0023,City of Seattle - Seattle Center Monorail Transit,Seattle,WA,"Seattle, WA",14,954,"2,712,205",OR,PT,0,,,,,,,,,,,,,,,,
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,,,,,,,,0,0,0,0,0,0
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",DR,PT,,,,,,,,,,,,,,,,,
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,DO,421,421,421,421,424,443,452,511,511,229,423,414,380,380,373,374,416
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",MB,PT,3,,,,,,,,,,,,,,,,
2007,0024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR-WA",23,474,"1,583,138",VP,DO,,,,,,,,,,,,0,0,0,0,,
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",DR,PT,,,,,,,,,,,,0,0,0,0,0,0
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",MB,DO,127,127,127,127,127,127,127,269,269,270,275,276,276,276,278,277,278
2007,0025,Salem Area Mass Transit District,Salem,OR,"Salem, OR",145,69,"207,229",VP,PT,,,,,,,,,,,,,,,0,0,0
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",FB,DO,11,11,,,,,,,,,,,,,,,
2007,0028,Pierce County Ferry Operations,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",FB,PT,,,11,11,11,11,11,11,11,11,11,11,11,11,10,10,10
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,848,859,855,867,867,881,902,910,947,843,799,759,790,784,786,787,787
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,,322,322,342,342,356,373,381,446,364,344,214,310,283,279,279,277
2007,0029,Snohomish County Public Transportation Benefit Area Corporation,Everett,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,,,,,,,,,,,,0,0,0,0,0,0
