Last_Report_Year,TRS_ID,System_Name,City,State,UZA_NAME,UZA,UZA_Area_SQ_Miles,UZA_Population,Mode,TOS,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,0,0,"154,358","195,636","235,404","271,635","538,486","560,852","595,491","591,700","618,971","608,205","610,993","630,168","691,108","708,970","634,886"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",LR,DO,"11,231","11,663","11,389","11,389","6,144","11,237","11,668","11,223","11,764","11,809","11,659","11,537","11,130","11,136","10,086",,
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"1,441,815","1,509,623","1,528,315","1,543,560","2,018,294","2,085,572","2,212,369","2,333,490","2,465,080","2,401,601","2,469,948","2,602,247","2,641,815","2,408,999","2,441,720","2,535,732","2,597,328"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"76,534","94,354","78,086","71,713","87,218","51,628",,,,,,,,,0,0,"68,269"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",TB,DO,"336,854","346,622","350,100","351,427","442,273","451,328","470,291","503,003","509,979","509,180","504,746","448,168","462,287","367,525","439,985","432,102","418,101"
2007,0001,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"138,372","177,735","231,768","238,940","221,520","228,020","249,860","262,070","277,991","269,244","281,083","265,198","250,266","246,316","268,006","296,229","308,511"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,DO,"77,818","88,263","96,476","97,993","101,589","93,601","91,310","89,671","84,796","86,281","89,814","93,638","95,167","89,156","87,625","89,590","88,894"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",DR,PT,"26,634","28,972","32,512","42,144","57,625","55,824","58,868","55,273","64,712","62,533","63,751","62,345","64,254","69,335","71,119","77,719","83,882"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",MB,DO,"339,595","345,550","352,549","355,890","369,756","371,431","374,718","377,509","375,175","356,977","336,401","348,675","351,239","354,985","369,494","402,533","406,008"
2007,0002,Spokane Transit Authority,Spokane,WA,"Spokane, WA-ID",93,143,"334,858",VP,DO,"3,798","5,242","6,188","8,139","7,219","7,733","8,414","9,110","7,165","6,531","8,221","8,881","10,334","9,938","15,157","17,462","18,720"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"47,292","54,495","54,705","62,065","61,887","59,013","52,564","61,782","51,000","49,784","48,768","48,507","52,578","51,679","50,845","50,001","49,261"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",DR,PT,"69,231","70,636","101,674","120,900","157,987","114,066","88,994","123,065","135,740","140,530","100,929","105,772","102,559","104,248","109,507","135,268","150,188"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"421,043","398,492","390,799","431,906","461,612","462,211","476,554","502,095","565,078","527,689","552,665","584,872","652,063","662,245","530,807","546,334","570,819"
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",MB,PT,"23,031","25,232","24,774","11,440",,,,,,,,,,,0,0,0
2007,0003,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,954,"2,712,205",VP,DO,"4,500","13,000","21,000","25,500","27,020","28,000","36,250","43,750","47,750","58,500","69,000","68,750","82,956","99,500","103,157","120,053","143,932"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",DR,DO,"11,861","13,428","14,736","13,842","14,481","15,184","15,352","17,088","21,432","22,896","22,936","23,549","33,287","36,754","36,869","39,854","43,644"
2007,0005,Everett Transit,Everett,WA,"Seattle, WA",14,954,"2,712,205",MB,DO,"83,070","86,364","90,025","90,313","88,997","84,927","76,335","76,624","76,896","83,700","83,712","88,288","83,568","56,921","90,380","100,720","105,588"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",DR,PT,"21,033","21,816","20,017","28,166","17,651","14,210","16,019","19,202","13,723","18,564","19,084","18,331","15,875","39,496","33,889","22,972","20,507"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",MB,DO,"46,964","58,344","60,930","60,372","46,617","44,841","44,452","44,375","43,736","42,196","45,016","45,734","63,199","47,690","50,340","52,301","54,500"
2007,0006,Yakima Transit,Yakima,WA,"Yakima, WA",235,50,"112,816",VP,DO,,,,,,,,,,,,"1,550","4,800","6,240","7,084","6,963","8,858"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",DR,PT,"11,987","15,019","25,223","26,907","28,207","31,875","33,650","35,071","39,484","43,857","49,457","47,541","48,581","50,618","49,189","65,128","73,070"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",MB,DO,"209,516","211,660","227,118","238,083","244,778","248,365","257,821","262,223","267,986","274,939","273,102","262,242","237,949","276,207","263,537","259,985","279,688"
2007,0007,Lane Transit District,Eugene,OR,"Eugene, OR",136,68,"224,049",VP,PT,,,,,,,,,,,,,,,418,"1,651","1,557"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,DO,,,,,"3,012","13,436","15,533","15,741","12,588",,,,,,,,
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",DR,PT,"151,254","140,588","164,955","201,685","221,587","243,353","248,041","293,295","304,509","327,986","344,806","366,319","395,283","405,534","438,290","465,037","533,885"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",LR,DO,"93,169","95,558","100,334","102,326","103,655","106,589","105,536","119,631","258,534","291,964","286,115","337,073","351,764","356,708","415,713","408,715","428,990"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,DO,"1,415,086","1,456,550","1,507,629","1,570,974","1,614,098","1,672,031","1,665,120","1,708,297","1,771,241","1,845,004","1,856,166","1,879,205","1,882,890","1,887,608","1,873,568","1,800,848","1,830,709"
2007,0008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR-WA",23,474,"1,583,138",MB,PT,"6,604","7,936","8,686","13,373","11,451",,,,,,,,,,,,
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,DO,"2,808","3,846","6,209","6,910","8,398","10,123","10,309","10,194","11,333","11,920","12,386","13,384","14,743","15,546","14,436","15,304","15,434"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",DR,PT,,,,,,,,,,,,,253,861,"1,679","1,879","2,094"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,DO,"44,982","46,294","49,940","58,605","67,439","65,789","66,715","66,063","65,377","69,001","71,595","73,551","75,027","68,438","65,660","67,113","66,429"
2007,0011,Valley Regional Transit,Meridian,ID,"Boise City, ID",116,109,"272,625",MB,PT,,,,,,,,,,,,,"5,481","10,538","19,002","20,768","20,909"
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",DR,PT,"26,377","27,186","29,751","29,789","23,050","27,858","33,133","54,954","57,707","58,033","66,135","68,313","70,143","68,534","63,002","66,881","80,396"
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",MB,DO,"106,505","105,296","104,252","104,527","104,915","105,569","107,315","123,220","122,169","118,862","124,412","128,394","134,639","146,240","154,080","151,080","156,288"
2007,0012,Municipality of Anchorage - Public Transportation Department,Anchorage,AK,"Anchorage, AK",135,79,"225,744",VP,PT,,,,,,"5,683","5,661","5,688","6,656","8,975","9,869","9,863","14,240","15,318","15,300",0,0
