JCT Title,Budget Function,JCT Estimate Year Range,Description
Cash accounting for agriculture,Agriculture,2000-2009,"<p>Most farm businesses (with the exception of certain farm corporations and partnerships or any tax shelter operation) may use the cash method of tax accounting to deduct costs attributable to goods held for sale and in inventory at the end of the tax year. These businesses are also allowed to expense some costs of developing assets that will produce income in future years. Both of these rules thus allow deductions to be claimed before the income associated with the deductions is realized.</p>

<p>Costs that may be deducted before income attributable to them is realized include livestock feed and the expenses of planting crops for succeeding years harvest. Costs that otherwise would be considered capital
expenditures but that may be deducted immediately by farmers include certain soil and water conservation expenses, costs associated with raising dairy and breeding cattle, and fertilizer and soil conditioner costs.</p>
"
Exclusion of cost-sharing payments,Agriculture,2000-2014,"<p>There are a number of programs under which both the federal and state governments make payments to taxpayers which represent a share of the cost of certain improvements made to the land. These programs generally relate to improvements which further conservation, protect the environment, improve forests, or provide habitats for wildlife. Under Section 126, the grants received under certain of these programs are excluded from the recipients gross income.</p>

<p>To qualify for the exclusion, the payment must be made primarily for the purpose of conserving soil and water resources or protecting the environment, and the payment must not produce a substantial increase in the annual income from the property with respect to which the payment was made.</p>
"
Five-year carryback period for net operating losses attributable to farming,Agriculture,2000-2014,"<p>A net operating loss, the amount by which business and certain other expenses exceed income for the year, may be carried forward and deducted from other income for 20 years following the loss year. It may, at the taxpayers election, instead be carried back to earlier years in which there was positive income. For most taxpayers, the carry back period is limited to the previous two years, although small businesses in federally declared disaster areas may carry losses back three years.. Current law permits losses attributed to a farming business (as defined in section 263A(e)(4)) to be carried back five years. The Gulf Opportunity Zone Act of 2005 broadened the definition of farm income to include losses on qualified timber property located in the Gulf or Rita Opportunity Zones.</p>"
Five-year recovery period for certain farming business machinery or equipment,Agriculture,2009-2013,"<p>There is no definition available for this tax expenditure in the 2006, 2008, or 2010 Congressional Research Service's <em>Tax Expenditures: Compendium of Background Material on Individual Provisions</em>.</p>"
15-year recovery period for retail motor fuels outlets,Commerce and housing,2008-2014,"<p>Taxpayers are allowed to deduct the costs of acquiring depreciable assets (assets that wear out or become obsolete over a period of years) as depreciation deductions. The tax code currently allows new buildings other than rental housing to be written off over 39 years, using a straight line method where equal amounts are deducted in each period. There is also a prescribed 40 year write-off period for these buildings under the alternative minimum tax (also based on a straight-line method).</p>

<p>Motorsports complexes (tracks and other land improvements and support facilities) are depreciated over seven years using a double declining balance method (where a rate twice as large as straight line is applied to the undepreciated balance, with a switch to straight line midway through the period). About half the revenue cost is due to the special provisions, primarily the treatment of leasehold improvements. These provisions are included in the extenders provisions, which are usually extended each year.</p>
"
5-year carryback of general business credits,Commerce and housing,2010-2014,"<p>The provision allows eligible small business to carry back unused 2010 tax year general business tax credits five years and apply them against prior tax liabilities. Other businesses, in general, are allowed to carry back unused credits for one year. Eligible small businesses are defined as those sole proprietorships, partnerships and non-publicly traded corporations with $50million or less in average annual gross receipts for the prior three years.</p>"
Additional exemption for housing provided to individuals displaced by Hurricane Katrina,Commerce and housing,2006-2010,"<p>Taxable income is reduced by $500 for each Hurricane Katrina displaced individual to whom a taxpayer provides housing. The total for each taxpayer is capped at $2,000 and is reduced by any exemptions claimed under the provision for prior years. The exemption is available in 2005 and 2006, although a taxpayer may claim a person only once. No deduction is allowed if the taxpayer receives any rent or other amount (from any source) in connection with the provision of housing.</p>"
Additional first-year depreciation for Gulf Opportunity Zone property,Commerce and housing,2006-2011,"<p>Several provisions provide special allowances for deducting costs relating to businesses in the Gulf Opportunity Zone (GO Zone), an area of the Hurricane Katrina official disaster area (which caused significant damage to the Gulf Coast, including New Orleans, in August of 2005). </p> <p>Taxpayers are allowed to deduct 50% of the cost of investment in depreciable property (machinery, equipment, and buildings), with the remaining property depreciated under normal rules. Property qualifying must commence original use in the GO Zone (used property qualifies if not previously used in the GO Zone) and must be related to an active trade or business in the Zone. Property must be placed in service after August 28, 2005, and before the end of 2007 for equipment and before the end of 2010 for buildings.</p>
"
"Cash accounting, other than agriculture",Commerce and housing,2000-2014,"<p>For tax purposes, the cash method of accounting allows business taxpayers to report income in the year when it is received and take deductions in the year when expenses are paid. By contrast, the accrual method of accounting makes it possible for business taxpayers to recognize income when it is earned  whether or not it has been received  and to claim deductions for expenses in the year when the expenses are incurred. Each accounting method has its advantages. The cash method is simpler to use, while the accrual method often paints a more accurate picture of a business taxpayers income, as it matches income with expenses with greater precision and rigor.</p>"
Completed contract rules,Commerce and housing,2000-2014,"<p>Some taxpayers with construction or manufacturing contracts extending for more than one tax year are allowed to report some or all of the profit on the contracts under special accounting rules rather than the normal rules of tax accounting. Many such taxpayers use the completed contract method.</p>

<p>A taxpayer using the completed contract method of accounting reports income on a long-term contract only when the contract has been completed. All costs properly allocable to the contract are also deducted when the contract is completed and the income reported, but many indirect costs may be deducted in the year paid or incurred. This mismatching of income and expenses allows a deferral of tax payments that creates a tax advantage in this type of reporting.</p>
"
Credit for employer-paid FICA taxes on tips,Commerce and housing,2000-2014,"<p>Tips received by employees providing, serving, or delivering food and beverages are treated as wages under the Federal Unemployment Tax Act (FUTA) and the Federal Insurance Contributions Act (FICA). This means that employers must pay Social Security and Medicare taxes on those tips, and that employers are required to report any tips received to the Internal Revenue Service (IRS). In the case of tipped employees, the Fair Labor Standards Act (FLSA) allows employers to lower the minimum wage to $2.13 per hour, provided the combination of tips and cash wages equals the applicable federal minimum wage.</p>

<p>Employers of tipped employees may claim a non-refundable tax credit equal to the FICA taxes paid on tips in excess of those treated as cash wages for the purpose of meeting the minimum wage requirements of the FLSA. The credit is available regardless of whether an employee reports tips received.</p>
"
Credit for rehabilitation of historic structures,Commerce and housing,2000-2014,<p>Expenditures on certified structures qualify for a 20 percent tax credit if used to substantially rehabilitate historic structures for use as residential rental or commercial property. The basis (cost for purposes of depreciation) of the building is reduced by the amount of the rehabilitation credit.</p> <p> Certified historic structures are either individually registered in the National Register of Historic Places or are structures certified by the Secretary of the Interior as having historic significance and located in a registered historic district. The State Historic Preservation Office reviews applications and forwards recommendations for designation to the U.S. Department of the Interior. </p>
"Credit for rehabilitation of structures, other than historic structures",Commerce and housing,2006-2014,"<p>Qualified expenditures made to substantially rehabilitate a nonresidential building receive a 10-percent tax credit. Only expenditures on buildings placed in service before 1936 are eligible. Expenditures made during any 24-month period must exceed the greater of $5,000 or the adjusted basis (cost less depreciation taken) of the building. The basis must be reduced by the full amount of the rehabilitation credit.</p>"
Credit for the cost of carrying tax-paid distilled spirits in wholesale inventories,Commerce and housing,2006-2014,<p>This credit applies to domestically bottled distilled spirits purchased directly from the bottler. Distilled spirits that are imported in bulk and then bottled domestically also qualify for the credit. The credit is calculated by multiplying the number of cases of bottled distilled spirits by the average tax-financing cost per case for the most recent calendar year ending before the beginning of the taxable year.</p>
