Indent,Category,Source,report,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv,Description/Expenditure Name,Notes
,Commerce and housing
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
#+,,JCT,2009,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,"Special rules for magazines, paperback book, and record returns",
#+,,JCT,2010,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,"Special rules for magazines, paperback book, and record returns",
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Special rules for magazine, paperback book, and record returns",
