Indent,Category,Source,report,2000 Corp,2001 Corp,2002 Corp,2003 Corp,2004 Corp,2005 Corp,2006 Corp,2007 Corp,2008 Corp,2009 Corp,2010 Corp,2011 Corp,2012 Corp,2013 Corp,2014 Corp,2015 Corp,2016 Corp,2000 Indv,2001 Indv,2002 Indv,2003 Indv,2004 Indv,2005 Indv,2006 Indv,2007 Indv,2008 Indv,2009 Indv,2010 Indv,2011 Indv,2012 Indv,2013 Indv,2014 Indv,2015 Indv,2016 Indv,Description/Expenditure Name,Notes
,Community and regional development
#,Accelerated depreciation for business property on Indian reservations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Businesses on Indian reservations are eligible for accelerated depreciation. These benefits are available for property placed in service before December 31, 2007.</p>
","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2006,,,,,100.00,<50,,,,,,,,,,,,,,,,100.00,<50,,,,,,,,,,,,Accelerated depreciation for Indian reservation investments,
#+,,JCT,2009,,,,,,,,200.00,200.00,<50,,,,,,,,,,,,,,,100.00,100.00,<50,,100.00,,,,,,Accelerated depreciation for business property on Indian reservations,
#+,,JCT,2010,,,,,,,,,200.00,200.00,100.00,,,,,,,,,,,,,,,100.00,100.00,<50,,,,,,,Accelerated depreciation for business property on Indian reservations,
#,Build America bonds ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>In the 111th Congress, the American Recovery and Reinvestment Act (P.L. 111-5, ARRA) created a new type of tax credit bond, the Build America Bond, which allows issuers the option of receiving a direct payment from the U.S. Treasury or tax credits for investors instead of tax-exempt interest payments.</p> 

<p>Build America Bonds are not targeted in their designation as are other tax credit bonds (TCBs, such as qualified zone academy bonds, qualified school construction bonds, and clean renewable energy bonds). The volume is not limited and the purpose is constrained only by the requirement that the interest on such obligation would (but for this section) be excludible from gross income under section 103. Thus, Build America Bonds can be issued for any purpose that would have been eligible for traditional tax-exempt bond financing other than private activity bonds. The bonds must be issued before January 1, 2011.</p><p>This tax expenditure corresponds with the Treasury tax expenditure ""Build America Bonds"" found in the General Purpose Fiscal Assistance Budget Function and available <a href="""">LINK HERE</a>.</p>
","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2011,,,,,,,,,,1300.00,2200.00,3000.00,3000.00,3000.00,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,Build America bonds ,
#+,,JCT,2012,,,,,,,,,,,200.00,500.00,800.00,800.00,800.00,,,,,,,,,,,,,700.00,1500.00,2300.00,2300.00,2300.00,,,Build America bonds ,
#,Credit for Indian reservation employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<p>Businesses on Indian reservations are eligible for a credit for 20 percent of the cost of the first $20,000 of wages (and health benefits) paid by the employer to tribal members and their spouses, in excess of eligible qualified wages and  health insurance cost payments made in 1993. These benefits are available for wages paid before December 31, 2007.</p>
","Description adapted from <a href=""http://www.gpo.gov/fdsys/pkg/CPRT-111SPRT62799/pdf/CPRT-111SPRT62799.pdff""><em>Tax Expenditures: Compendium of Background Materials on Individual Provisions</em></a>, Congressional Research Service, December 2010, Washington, DC: U.S. Government Printing Office."
#+,,JCT,2006,,,,,<50,<50,<50,<50,<50,,,,,,,,,,,,,<50,<50,<50,<50,<50,,,,,,,,,Wage credit for Indian reservation employment,
