"Indent","Category","Source","report","2000 Corp","2001 Corp","2002 Corp","2003 Corp","2004 Corp","2005 Corp","2006 Corp","2007 Corp","2008 Corp","2009 Corp","2010 Corp","2011 Corp","2012 Corp","2013 Corp","2014 Corp","2015 Corp","2016 Corp","2000 Indv","2001 Indv","2002 Indv","2003 Indv","2004 Indv","2005 Indv","2006 Indv","2007 Indv","2008 Indv","2009 Indv","2010 Indv","2011 Indv","2012 Indv","2013 Indv","2014 Indv","2015 Indv","2016 Indv","Description/Expenditure Name","Notes"
"","General science, space, and technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","The General Science, Space, and Technology budget function consists of government spending on science and research activities that are not an integral part of programs conducted under another budget function.  This includes funding for the National Science Foundation, the National Aeronautics and Space Administration, and the general science programs at the Department of Energy.  General Science, Space, and Technology is function 250 of the U.S. Budget. ",""
"#","Credit for increasing research activities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<p>The baseline tax system would uniformly tax all returns to investments and not allow credits for particular activities, investments, or industries. In contrast, the Tax Code allows an R&E credit of 20 percent of qualified research expenditures in excess of a base amount.The base amount is generally determined by multiplying a ""fixed-base percentage"" by the average amount of the company's gross receipts for the prior four years. The taxpayer's fixed base percentage generally is the ratio of its research expenses to gross receipts for 1984 through 1988. Taxpayers can elect the alternative simplified credit regime, which is equal to 14 percent (12 percent prior to 2009) of qualified research expenses that exceed 50 percent of the average qualified research expenses for the three preceding taxable years. Prior to January 1, 2009, taxpayers could also elect an alternative incremental credit regime. Under the alternative incremental credit regime the taxpayer was assigned a three-tiered fixed base percentage that is lower than the fixed-base percentage that would otherwise apply, and the credit rate was reduced. The rates for the alternative incremental credit ranged from 3 percent to 5 percent. Under current law as of September 30, the research credit expired on December 31, 2009. </p>","Description from <a href=""http://www.gpoaccess.gov/usbudget/fy12/pdf/BUDGET-2012-PER.pdf"">Analytical Perspectives, Budget of the U.S. Government, Fiscal Year 2012.</a>"
"#+","","JCT",2001,900.00,500.00,300.00,100.00,"","","","","","","","","","","","","",0.00,0.00,0.00,0.00,"","","","","","","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2002,0.00,3000.00,6800.00,3700.00,3800.00,"","","","","","","","","","","","",0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2003,"",3300.00,3400.00,3600.00,3000.00,1800.00,"","","","","","","","","","","","",0.00,0.00,0.00,0.00,0.00,"","","","","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2004,"","",5000.00,5400.00,4700.00,2800.00,1500.00,"","","","","","","","","","","","","<50","<50","<50","<50","<50","","","","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2005,"","","",5100.00,4500.00,2700.00,1400.00,700.00,"","","","","","","","","","","","","<50","<50","<50","<50","<50","","","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2006,"","","","",3900.00,2400.00,1200.00,700.00,300.00,"","","","","","","","","","","","","<50","<50","<50","<50","<50","","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2007,"","","","","",4800.00,3000.00,1500.00,1000.00,400.00,"","","","","","","","","","","","",100.00,100.00,"<50","<50","<50","","","","","","","","Tax credit for qualified research expenditures",""
"#+","","JCT",2009,"","","","","","","",5000.00,3200.00,1900.00,1500.00,1000.00,"","","","","","","","","","","","",100.00,100.00,"<50","<50","<50","","","","","","Tax credit for increasing research activities",""
"#+","","JCT",2010,"","","","","","","","",4900.00,5600.00,3600.00,2800.00,2200.00,"","","","","","","","","","","","",100.00,100.00,"<50","<50","<50","","","","","Credit for increasing research activities",""
"#+","","JCT",2011,"","","","","","","","","",4800.00,3100.00,2500.00,1900.00,1500.00,"","","","","","","","","","","","",100.00,100.00,100.00,"<50","<50","","","","Credit for increasing research activities (Code section 41) ","Estimate includes refundability associated with the outlay effects found on page 46 of the JCT FY2011 <a href=""http://www.jct.gov/publications.html?func=startdown&id=3642""><em>Estimates of Federal Tax Expenditures</em>.</a> "
"#+","","JCT",2012,"","","","","","","","","","",4000.00,3000.00,2300.00,1800.00,900.00,"","","","","","","","","","","","",100.00,100.00,"<50","<50","<50","","","Credit for increasing research activities (section 41)",""
"#+",9,"Treasury",2001,995.00,3300.00,3650.00,2925.00,2565.00,1490.00,"","","","","","","","","","","",15.00,60.00,60.00,45.00,40.00,15.00,"","","","","","","","","","","","Credit for increasing research activities",""
"#+",10,"Treasury",2002,1620.00,5990.00,6700.00,5340.00,4670.00,2700.00,1160.00,"","","","","","","","","","",10.00,60.00,60.00,50.00,40.00,20.00,0.00,"","","","","","","","","","","Credit for increasing research activities",""
"#+",9,"Treasury",2003,"",5310.00,5950.00,4540.00,3980.00,2310.00,990.00,410.00,"","","","","","","","","","",60.00,60.00,50.00,40.00,20.00,0.00,0.00,"","","","","","","","","","Credit for increasing research activities",""
"#+",9,"Treasury",2004,"","",6810.00,5590.00,4950.00,2890.00,1240.00,520.00,170.00,"","","","","","","","","","",60.00,50.00,40.00,20.00,0.00,0.00,0.00,"","","","","","","","","Credit for increasing research activities",""
